Frame:	Label:	Points:	Bounding Box ID:	Frame path: data1/boiled-egg/
0	pan	(190,78,67,107)	13	0.jpg
0	bowl	(56,113,45,40)	17	0.jpg
0	shell_egg	(59,208,20,21)	7	0.jpg
1	pan	(190,78,67,107)	13	1.jpg
1	bowl	(56,113,45,40)	17	1.jpg
1	shell_egg	(59,208,20,21)	7	1.jpg
2	pan	(190,78,67,107)	13	2.jpg
2	bowl	(56,113,45,40)	17	2.jpg
2	shell_egg	(59,208,20,21)	7	2.jpg
3	pan	(190,78,67,107)	13	3.jpg
3	bowl	(56,113,45,40)	17	3.jpg
3	shell_egg	(59,208,20,21)	7	3.jpg
4	pan	(190,78,67,107)	13	4.jpg
4	bowl	(56,113,45,40)	17	4.jpg
4	shell_egg	(59,208,20,21)	7	4.jpg
5	pan	(190,78,67,107)	13	5.jpg
5	bowl	(56,113,45,40)	17	5.jpg
5	shell_egg	(59,208,20,21)	7	5.jpg
6	pan	(190,78,67,107)	13	6.jpg
6	bowl	(56,113,45,40)	17	6.jpg
6	shell_egg	(59,208,20,21)	7	6.jpg
7	pan	(190,78,67,107)	13	7.jpg
7	bowl	(56,113,45,40)	17	7.jpg
7	shell_egg	(59,208,20,21)	7	7.jpg
8	pan	(190,78,67,107)	13	8.jpg
8	bowl	(56,113,45,40)	17	8.jpg
8	shell_egg	(59,208,20,21)	7	8.jpg
9	pan	(190,78,67,107)	13	9.jpg
9	bowl	(56,113,45,40)	17	9.jpg
9	shell_egg	(59,208,20,21)	7	9.jpg
10	pan	(190,78,67,107)	13	10.jpg
10	bowl	(56,113,45,40)	17	10.jpg
10	shell_egg	(59,208,20,21)	7	10.jpg
11	pan	(190,78,67,107)	13	11.jpg
11	bowl	(56,113,45,40)	17	11.jpg
11	shell_egg	(59,208,20,21)	7	11.jpg
12	pan	(190,78,67,107)	13	12.jpg
12	bowl	(56,113,45,40)	17	12.jpg
12	shell_egg	(59,208,20,21)	7	12.jpg
13	pan	(190,78,67,107)	13	13.jpg
13	bowl	(56,113,45,40)	17	13.jpg
13	shell_egg	(59,208,20,21)	7	13.jpg
14	pan	(190,78,67,107)	13	14.jpg
14	bowl	(56,113,45,40)	17	14.jpg
14	shell_egg	(59,208,20,21)	7	14.jpg
15	pan	(190,78,67,107)	13	15.jpg
15	bowl	(56,113,45,40)	17	15.jpg
15	shell_egg	(59,208,20,21)	7	15.jpg
16	pan	(190,78,67,107)	13	16.jpg
16	bowl	(56,113,45,40)	17	16.jpg
16	shell_egg	(59,208,20,21)	7	16.jpg
17	pan	(190,78,67,107)	13	17.jpg
17	bowl	(56,113,45,40)	17	17.jpg
17	shell_egg	(59,208,20,21)	7	17.jpg
18	pan	(190,78,67,107)	13	18.jpg
18	bowl	(56,113,45,40)	17	18.jpg
18	shell_egg	(59,208,20,21)	7	18.jpg
19	pan	(190,78,67,107)	13	19.jpg
19	bowl	(56,113,45,40)	17	19.jpg
19	shell_egg	(59,208,20,21)	7	19.jpg
20	pan	(190,78,67,107)	13	20.jpg
20	bowl	(56,113,45,40)	17	20.jpg
