Frame:	Label:	Points:	Bounding Box ID:	Frame path:
0	egg	(46,211,14,13)	0	kinshi-egg/rgb256/0.jpg
0	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/0.jpg
0	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/0.jpg
0	knife	(27,102,30,67)	3	kinshi-egg/rgb256/0.jpg
0	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/0.jpg
1	egg	(46,210,14,13)	0	kinshi-egg/rgb256/1.jpg
1	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/1.jpg
1	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/1.jpg
1	knife	(27,102,30,67)	3	kinshi-egg/rgb256/1.jpg
1	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/1.jpg
2	egg	(45,210,14,13)	0	kinshi-egg/rgb256/2.jpg
2	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/2.jpg
2	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/2.jpg
2	knife	(27,102,30,67)	3	kinshi-egg/rgb256/2.jpg
2	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/2.jpg
3	egg	(46,211,14,13)	0	kinshi-egg/rgb256/3.jpg
3	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/3.jpg
3	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/3.jpg
3	knife	(27,102,30,67)	3	kinshi-egg/rgb256/3.jpg
3	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/3.jpg
4	egg	(45,210,15,14)	0	kinshi-egg/rgb256/4.jpg
4	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/4.jpg
4	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/4.jpg
4	knife	(27,102,30,67)	3	kinshi-egg/rgb256/4.jpg
4	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/4.jpg
5	egg	(46,210,14,14)	0	kinshi-egg/rgb256/5.jpg
5	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/5.jpg
5	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/5.jpg
5	knife	(27,102,30,67)	3	kinshi-egg/rgb256/5.jpg
5	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/5.jpg
6	egg	(45,210,15,14)	0	kinshi-egg/rgb256/6.jpg
6	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/6.jpg
6	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/6.jpg
6	knife	(27,102,30,67)	3	kinshi-egg/rgb256/6.jpg
6	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/6.jpg
7	egg	(45,210,15,14)	0	kinshi-egg/rgb256/7.jpg
7	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/7.jpg
7	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/7.jpg
7	knife	(27,102,30,67)	3	kinshi-egg/rgb256/7.jpg
7	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/7.jpg
8	egg	(45,210,15,14)	0	kinshi-egg/rgb256/8.jpg
8	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/8.jpg
8	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/8.jpg
8	knife	(27,102,30,67)	3	kinshi-egg/rgb256/8.jpg
8	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/8.jpg
9	egg	(46,210,14,14)	0	kinshi-egg/rgb256/9.jpg
9	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/9.jpg
9	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/9.jpg
9	knife	(27,102,30,67)	3	kinshi-egg/rgb256/9.jpg
9	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/9.jpg
10	egg	(44,210,15,14)	0	kinshi-egg/rgb256/10.jpg
10	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/10.jpg
10	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/10.jpg
10	knife	(27,102,30,67)	3	kinshi-egg/rgb256/10.jpg
10	cutting board	(8,106,55,67)	4	kinshi-egg/rgb256/10.jpg
11	egg	(45,210,15,14)	0	kinshi-egg/rgb256/11.jpg
11	bowl	(54,112,47,40)	1	kinshi-egg/rgb256/11.jpg
11	frying pan	(100,87,81,107)	2	kinshi-egg/rgb256/11.jpg
