Frame	Subject	Relation	Object
0	knife	on	cutting board
1	knife	on	cutting board
2	knife	on	cutting board
3	knife	on	cutting board
4	knife	on	cutting board
5	knife	on	cutting board
6	knife	on	cutting board
7	knife	on	cutting board
8	knife	on	cutting board
9	knife	on	cutting board
10	knife	on	cutting board
11	knife	on	cutting board
12	knife	on	cutting board
13	knife	on	cutting board
14	knife	on	cutting board
15	knife	on	cutting board
16	knife	on	cutting board
17	knife	on	cutting board
18	knife	on	cutting board
19	knife	on	cutting board
20	knife	on	cutting board
21	knife	on	cutting board
22	knife	on	cutting board
23	knife	on	cutting board
24	knife	on	cutting board
25	knife	on	cutting board
26	knife	on	cutting board
27	knife	on	cutting board
28	knife	on	cutting board
29	knife	on	cutting board
30	knife	on	cutting board
31	knife	on	cutting board
32	knife	on	cutting board
33	knife	on	cutting board
34	knife	on	cutting board
35	knife	on	cutting board
36	knife	on	cutting board
37	knife	on	cutting board
38	knife	on	cutting board
39	knife	on	cutting board
40	knife	on	cutting board
41	knife	on	cutting board
42	knife	on	cutting board
43	knife	on	cutting board
44	knife	on	cutting board
45	knife	on	cutting board
46	knife	on	cutting board
47	knife	on	cutting board
48	knife	on	cutting board
49	knife	on	cutting board
50	knife	on	cutting board
51	knife	on	cutting board
52	knife	on	cutting board
53	knife	on	cutting board
54	knife	on	cutting board
55	knife	on	cutting board
56	knife	on	cutting board
57	knife	on	cutting board
58	knife	on	cutting board
59	knife	on	cutting board
60	knife	on	cutting board
61	knife	on	cutting board
62	knife	on	cutting board
63	knife	on	cutting board
64	knife	on	cutting board
65	knife	on	cutting board
66	knife	on	cutting board
67	knife	on	cutting board
68	knife	on	cutting board
69	knife	on	cutting board
70	knife	on	cutting board
71	knife	on	cutting board
72	knife	on	cutting board
73	knife	on	cutting board
74	knife	on	cutting board
75	knife	on	cutting board
76	knife	on	cutting board
77	knife	on	cutting board
78	knife	on	cutting board
79	knife	on	cutting board
80	knife	on	cutting board
81	knife	on	cutting board
82	knife	on	cutting board
83	knife	on	cutting board
84	knife	on	cutting board
85	knife	on	cutting board
86	knife	on	cutting board
87	knife	on	cutting board
88	knife	on	cutting board
89	knife	on	cutting board
90	knife	on	cutting board
91	knife	on	cutting board
92	knife	on	cutting board
93	knife	on	cutting board
94	knife	on	cutting board
95	knife	on	cutting board
96	knife	on	cutting board
97	knife	on	cutting board
98	knife	on	cutting board
99	knife	on	cutting board
100	knife	on	cutting board
101	knife	on	cutting board
102	knife	on	cutting board
103	knife	on	cutting board
104	knife	on	cutting board
105	knife	on	cutting board
106	knife	on	cutting board
107	knife	on	cutting board
108	knife	on	cutting board
109	knife	on	cutting board
110	knife	on	cutting board
111	knife	on	cutting board
112	knife	on	cutting board
113	knife	on	cutting board
114	knife	on	cutting board
115	knife	on	cutting board
116	knife	on	cutting board
117	knife	on	cutting board
118	knife	on	cutting board
119	knife	on	cutting board
120	knife	on	cutting board
121	knife	on	cutting board
122	knife	on	cutting board
