Frame:	Label:	Frame path:
0	None	None	None
1	None	None	None
2	None	None	None
3	None	None	None
4	None	None	None
5	None	None	None
6	None	None	None
7	None	None	None
8	None	None	None
9	None	None	None
10	None	None	None
11	None	None	None
12	None	None	None
13	None	None	None
14	None	None	None
15	None	None	None
16	None	None	None
17	None	None	None
18	None	None	None
19	None	None	None
20	None	None	None
21	None	None	None
22	None	None	None
23	None	None	None
24	None	None	None
25	None	None	None
26	None	None	None
27	None	None	None
28	None	None	None
29	None	None	None
30	None	None	None
31	None	None	None
32	None	None	None
33	None	None	None
34	None	None	None
35	None	None	None
36	None	None	None
37	None	None	None
38	None	None	None
39	None	None	None
40	None	None	None
41	None	None	None
42	None	None	None
43	None	None	None
44	None	None	None
45	None	None	None
46	None	None	None
47	None	None	None
48	None	None	None
49	None	None	None
50	None	None	None
51	None	None	None
52	None	None	None
53	None	None	None
54	None	None	None
55	None	None	None
56	None	None	None
57	None	None	None
58	None	None	None
59	None	None	None
60	None	None	None
61	None	None	None
62	None	None	None
63	None	None	None
64	None	None	None
65	None	None	None
66	None	None	None
67	None	None	None
68	None	None	None
69	None	None	None
70	None	None	None
71	None	None	None
72	None	None	None
73	None	None	None
74	None	None	None
75	None	None	None
76	None	None	None
77	None	None	None
78	None	None	None
79	None	None	None
80	None	None	None
81	None	None	None
82	None	None	None
83	None	None	None
84	None	None	None
85	None	None	None
86	None	None	None
87	None	None	None
88	None	None	None
89	None	None	None
90	None	None	None
91	None	None	None
92	None	None	None
93	None	None	None
94	None	None	None
95	None	None	None
96	None	None	None
97	None	None	None
98	None	None	None
99	None	None	None
100	None	None	None
101	None	None	None
102	None	None	None
103	None	None	None
104	None	None	None
105	None	None	None
106	None	None	None
107	None	None	None
108	None	None	None
109	None	None	None
110	None	None	None
111	None	None	None
112	None	None	None
113	None	None	None
114	None	None	None
115	None	None	None
116	None	None	None
117	None	None	None
118	None	None	None
119	None	None	None
120	None	None	None
121	None	None	None
122	None	None	None
123	None	None	None
124	None	None	None
125	None	None	None
126	None	None	None
127	None	None	None
128	None	None	None
129	None	None	None
130	None	None	None
131	None	None	None
132	None	None	None
133	None	None	None
134	None	None	None
135	None	None	None
136	None	None	None
137	None	None	None
138	None	None	None
139	None	None	None
140	None	None	None
141	None	None	None
142	None	None	None
143	None	None	None
144	None	None	None
145	person	hold	pan
146	person	hold	pan
147	person	hold	pan
148	person	hold	pan
149	person	hold	pan
150	person	hold	pan
151	person	hold	pan
152	person	hold	pan
153	person	hold	pan
154	person	hold	pan
155	person	hold	pan
156	person	hold	pan
157	person	hold	pan
158	person	hold	pan
159	person	hold	pan
160	person	hold	pan
161	person	hold	pan
162	person	hold	pan
163	person	hold	pan
164	person	hold	pan
165	person	hold	pan
166	person	hold	pan
167	person	hold	pan
168	person	hold	pan
169	person	hold	pan
170	person	hold	pan
171	person	hold	pan
172	person	hold	pan
173	person	hold	pan
174	person	hold	pan
175	person	hold	pan
176	person	hold	pan
177	person	hold	pan
178	person	hold	pan
179	person	hold	pan
180	person	hold	pan
181	person	hold	pan
182	person	hold	pan
183	person	hold	pan
184	person	hold	pan
185	person	hold	pan
186	person	hold	pan
187	person	hold	pan
188	person	hold	pan
189	person	hold	pan
190	person	hold	pan
191	person	hold	pan
192	person	hold	pan
193	person	hold	pan
194	person	hold	pan
195	person	hold	pan
196	person	hold	pan
197	person	hold	pan
198	person	hold	pan
199	person	hold	pan
200	person	hold	pan
201	person	hold	pan
202	person	hold	pan
203	person	hold	pan
204	None	None	None
205	None	None	None
206	None	None	None
207	None	None	None
208	None	None	None
209	None	None	None
210	None	None	None
211	None	None	None
