Frame:	Label:	Frame path:
0	None	None	None
1	None	None	None
2	None	None	None
3	None	None	None
4	None	None	None
5	None	None	None
6	None	None	None
7	None	None	None
8	None	None	None
9	None	None	None
10	None	None	None
11	None	None	None
12	None	None	None
13	None	None	None
14	None	None	None
15	None	None	None
16	None	None	None
17	None	None	None
18	None	None	None
19	None	None	None
20	None	None	None
21	None	None	None
22	None	None	None
23	None	None	None
24	None	None	None
25	None	None	None
26	None	None	None
27	None	None	None
28	None	None	None
29	None	None	None
30	None	None	None
31	None	None	None
32	None	None	None
33	None	None	None
34	None	None	None
35	None	None	None
36	None	None	None
37	None	None	None
38	None	None	None
39	None	None	None
40	None	None	None
41	None	None	None
42	None	None	None
43	None	None	None
44	None	None	None
45	None	None	None
46	None	None	None
47	None	None	None
48	None	None	None
49	None	None	None
50	None	None	None
51	None	None	None
52	None	None	None
53	None	None	None
54	None	None	None
55	None	None	None
56	None	None	None
57	None	None	None
58	None	None	None
59	None	None	None
60	None	None	None
61	None	None	None
62	None	None	None
63	None	None	None
64	None	None	None
65	None	None	None
66	None	None	None
67	None	None	None
68	None	None	None
69	None	None	None
70	None	None	None
71	None	None	None
72	None	None	None
73	None	None	None
74	None	None	None
75	None	None	None
76	None	None	None
77	None	None	None
78	None	None	None
79	None	None	None
80	None	None	None
81	None	None	None
82	None	None	None
83	None	None	None
84	None	None	None
85	None	None	None
86	None	None	None
87	None	None	None
88	None	None	None
89	None	None	None
90	None	None	None
91	None	None	None
92	None	None	None
93	None	None	None
94	None	None	None
95	None	None	None
96	None	None	None
97	None	None	None
98	None	None	None
99	None	None	None
100	None	None	None
101	None	None	None
102	None	None	None
103	None	None	None
104	None	None	None
105	None	None	None
106	None	None	None
107	None	None	None
108	None	None	None
109	None	None	None
110	None	None	None
111	None	None	None
112	None	None	None
113	None	None	None
114	None	None	None
115	None	None	None
116	None	None	None
117	None	None	None
118	None	None	None
119	None	None	None
120	None	None	None
121	None	None	None
122	None	None	None
123	None	None	None
124	None	None	None
125	None	None	None
126	None	None	None
127	None	None	None
128	None	None	None
129	None	None	None
130	person	hold	bowl
131	person	hold	bowl
132	person	hold	bowl
133	person	hold	bowl
134	person	hold	bowl
135	person	hold	bowl
136	person	hold	bowl
137	person	hold	bowl
138	person	hold	bowl
139	person	hold	bowl
140	person	hold	bowl
141	person	hold	bowl
142	person	hold	bowl
143	person	hold	bowl
144	person	hold	bowl
145	person	hold	bowl
146	person	hold	bowl
147	None	None	None
148	None	None	None
149	None	None	None
150	None	None	None
151	None	None	None
152	None	None	None
153	None	None	None
154	None	None	None
155	None	None	None
156	None	None	None
157	None	None	None
158	None	None	None
159	None	None	None
160	None	None	None
161	None	None	None
162	None	None	None
163	None	None	None
164	None	None	None
165	None	None	None
166	None	None	None
167	None	None	None
168	None	None	None
169	None	None	None
170	person	hold	ham
170	person	hold	knife
171	person	hold	ham
171	person	hold	knife
172	person	hold	ham
172	person	hold	knife
173	person	hold	ham
173	person	hold	knife
174	person	hold	ham
174	person	hold	knife
175	person	hold	ham
175	person	hold	knife
176	person	hold	ham
176	person	hold	knife
177	person	hold	ham
177	person	hold	knife
178	person	hold	ham
178	person	hold	knife
179	person	hold	ham
179	person	hold	knife
180	person	hold	ham
180	person	hold	knife
181	person	hold	ham
181	person	hold	knife
182	person	hold	ham
182	person	hold	knife
183	person	hold	ham
183	person	hold	knife
184	person	hold	ham
184	person	hold	knife
185	person	hold	ham
185	person	hold	knife
186	person	hold	ham
186	person	hold	knife
187	person	hold	ham
187	person	hold	knife
188	person	hold	ham
188	person	hold	knife
189	person	hold	ham
189	person	hold	knife
