Frame:	Label:	Points:	Bounding Box ID:	Frame path:
0	shell_egg	(75,207,18,15)	7	/home/roger/KSCGR/data2/boild-egg/rgb256/0.jpg
0	cutting_board	(9,116,50,54)	19	/home/roger/KSCGR/data2/boild-egg/rgb256/0.jpg
0	knife	(22,111,33,66)	22	/home/roger/KSCGR/data2/boild-egg/rgb256/0.jpg
0	pan_handle	(120,84,26,42)	15	/home/roger/KSCGR/data2/boild-egg/rgb256/0.jpg
0	pan	(186,115,70,70)	13	/home/roger/KSCGR/data2/boild-egg/rgb256/0.jpg
0	bowl	(55,112,43,40)	17	/home/roger/KSCGR/data2/boild-egg/rgb256/0.jpg
1	shell_egg	(75,207,18,15)	7	/home/roger/KSCGR/data2/boild-egg/rgb256/1.jpg
1	cutting_board	(9,116,50,54)	19	/home/roger/KSCGR/data2/boild-egg/rgb256/1.jpg
1	knife	(22,111,33,66)	22	/home/roger/KSCGR/data2/boild-egg/rgb256/1.jpg
1	pan_handle	(120,84,26,42)	15	/home/roger/KSCGR/data2/boild-egg/rgb256/1.jpg
1	pan	(186,115,70,70)	13	/home/roger/KSCGR/data2/boild-egg/rgb256/1.jpg
1	bowl	(55,112,43,40)	17	/home/roger/KSCGR/data2/boild-egg/rgb256/1.jpg
2	shell_egg	(75,207,18,15)	7	/home/roger/KSCGR/data2/boild-egg/rgb256/2.jpg
2	cutting_board	(9,116,50,54)	19	/home/roger/KSCGR/data2/boild-egg/rgb256/2.jpg
2	knife	(22,111,33,66)	22	/home/roger/KSCGR/data2/boild-egg/rgb256/2.jpg
2	pan_handle	(120,84,26,42)	15	/home/roger/KSCGR/data2/boild-egg/rgb256/2.jpg
2	pan	(186,115,70,70)	13	/home/roger/KSCGR/data2/boild-egg/rgb256/2.jpg
2	bowl	(55,112,43,40)	17	/home/roger/KSCGR/data2/boild-egg/rgb256/2.jpg
3	shell_egg	(75,207,18,15)	7	/home/roger/KSCGR/data2/boild-egg/rgb256/3.jpg
3	cutting_board	(9,116,50,54)	19	/home/roger/KSCGR/data2/boild-egg/rgb256/3.jpg
3	knife	(22,111,33,66)	22	/home/roger/KSCGR/data2/boild-egg/rgb256/3.jpg
3	pan_handle	(120,84,26,42)	15	/home/roger/KSCGR/data2/boild-egg/rgb256/3.jpg
3	pan	(186,115,70,70)	13	/home/roger/KSCGR/data2/boild-egg/rgb256/3.jpg
3	bowl	(55,112,43,40)	17	/home/roger/KSCGR/data2/boild-egg/rgb256/3.jpg
4	shell_egg	(75,207,18,15)	7	/home/roger/KSCGR/data2/boild-egg/rgb256/4.jpg
4	cutting_board	(9,116,50,54)	19	/home/roger/KSCGR/data2/boild-egg/rgb256/4.jpg
4	knife	(22,111,33,66)	22	/home/roger/KSCGR/data2/boild-egg/rgb256/4.jpg
4	pan_handle	(120,84,26,42)	15	/home/roger/KSCGR/data2/boild-egg/rgb256/4.jpg
4	pan	(186,115,70,70)	13	/home/roger/KSCGR/data2/boild-egg/rgb256/4.jpg
4	bowl	(55,112,43,40)	17	/home/roger/KSCGR/data2/boild-egg/rgb256/4.jpg
5	shell_egg	(75,207,18,15)	7	/home/roger/KSCGR/data2/boild-egg/rgb256/5.jpg
5	cutting_board	(9,116,50,54)	19	/home/roger/KSCGR/data2/boild-egg/rgb256/5.jpg
5	knife	(22,111,33,66)	22	/home/roger/KSCGR/data2/boild-egg/rgb256/5.jpg
5	pan_handle	(120,84,26,42)	15	/home/roger/KSCGR/data2/boild-egg/rgb256/5.jpg
5	pan	(186,115,70,70)	13	/home/roger/KSCGR/data2/boild-egg/rgb256/5.jpg
5	bowl	(55,112,43,40)	17	/home/roger/KSCGR/data2/boild-egg/rgb256/5.jpg
6	shell_egg	(75,207,18,15)	7	/home/roger/KSCGR/data2/boild-egg/rgb256/6.jpg
6	cutting_board	(9,116,50,54)	19	/home/roger/KSCGR/data2/boild-egg/rgb256/6.jpg
6	knife	(22,111,33,66)	22	/home/roger/KSCGR/data2/boild-egg/rgb256/6.jpg
6	pan_handle	(120,84,26,42)	15	/home/roger/KSCGR/data2/boild-egg/rgb256/6.jpg
6	pan	(186,115,70,70)	13	/home/roger/KSCGR/data2/boild-egg/rgb256/6.jpg
6	bowl	(55,112,43,40)	17	/home/roger/KSCGR/data2/boild-egg/rgb256/6.jpg
7	shell_egg	(75,207,18,15)	7	/home/roger/KSCGR/data2/boild-egg/rgb256/7.jpg
7	cutting_board	(9,116,50,54)	19	/home/roger/KSCGR/data2/boild-egg/rgb256/7.jpg
7	knife	(22,111,33,66)	22	/home/roger/KSCGR/data2/boild-egg/rgb256/7.jpg
7	pan_handle	(120,84,26,42)	15	/home/roger/KSCGR/data2/boild-egg/rgb256/7.jpg
7	pan	(186,115,70,70)	13	/home/roger/KSCGR/data2/boild-egg/rgb256/7.jpg
7	bowl	(55,112,43,40)	17	/home/roger/KSCGR/data2/boild-egg/rgb256/7.jpg
8	shell_egg	(75,207,18,15)	7	/home/roger/KSCGR/data2/boild-egg/rgb256/8.jpg
8	cutting_board	(9,116,50,54)	19	/home/roger/KSCGR/data2/boild-egg/rgb256/8.jpg
8	knife	(22,111,33,66)	22	/home/roger/KSCGR/data2/boild-egg/rgb256/8.jpg
8	pan_handle	(120,84,26,42)	15	/home/roger/KSCGR/data2/boild-egg/rgb256/8.jpg
8	pan	(186,115,70,70)	13	/home/roger/KSCGR/data2/boild-egg/rgb256/8.jpg
8	bowl	(55,112,43,40)	17	/home/roger/KSCGR/data2/boild-egg/rgb256/8.jpg
9	shell_egg	(75,207,18,15)	7	/home/roger/KSCGR/data2/boild-egg/rgb256/9.jpg
9	cutting_board	(9,116,50,54)	19	/home/roger/KSCGR/data2/boild-egg/rgb256/9.jpg
9	knife	(22,111,33,66)	22	/home/roger/KSCGR/data2/boild-egg/rgb256/9.jpg
