Frame:	Label:	Points:	Bounding Box ID:	Frame path:
0	egg	(73,221,23,21)	0	data2/ham-egg/0.jpg
0	pan handler	(195,76,36,53)	1	data2/ham-egg/0.jpg
0	bowl	(55,116,46,42)	2	data2/ham-egg/0.jpg
0	ham	(60,173,39,37)	3	data2/ham-egg/0.jpg
0	saltshaker	(23,162,42,56)	4	data2/ham-egg/0.jpg
0	cutting board	(15,115,50,53)	5	data2/ham-egg/0.jpg
0	knife	(13,111,54,58)	6	data2/ham-egg/0.jpg
0	frying pan	(103,117,82,73)	8	data2/ham-egg/0.jpg
1	frying pan	(103,117,82,73)	8	data2/ham-egg/1.jpg
1	egg	(73,221,23,21)	0	data2/ham-egg/1.jpg
1	frying pan	(103,117,82,73)	8	data2/ham-egg/1.jpg
1	pan handler	(195,76,36,53)	1	data2/ham-egg/1.jpg
1	frying pan	(103,117,82,73)	8	data2/ham-egg/1.jpg
1	bowl	(55,116,46,42)	2	data2/ham-egg/1.jpg
1	frying pan	(103,117,82,73)	8	data2/ham-egg/1.jpg
1	ham	(60,173,39,37)	3	data2/ham-egg/1.jpg
1	frying pan	(103,117,82,73)	8	data2/ham-egg/1.jpg
1	saltshaker	(23,162,42,56)	4	data2/ham-egg/1.jpg
1	frying pan	(103,117,82,73)	8	data2/ham-egg/1.jpg
1	cutting board	(15,115,50,53)	5	data2/ham-egg/1.jpg
1	frying pan	(103,117,82,73)	8	data2/ham-egg/1.jpg
1	knife	(13,111,54,58)	6	data2/ham-egg/1.jpg
1	frying pan	(103,117,82,73)	8	data2/ham-egg/1.jpg
2	frying pan	(103,117,82,73)	8	data2/ham-egg/2.jpg
2	egg	(73,221,23,21)	0	data2/ham-egg/2.jpg
2	frying pan	(103,117,82,73)	8	data2/ham-egg/2.jpg
2	pan handler	(195,76,36,53)	1	data2/ham-egg/2.jpg
2	frying pan	(103,117,82,73)	8	data2/ham-egg/2.jpg
2	bowl	(55,116,46,42)	2	data2/ham-egg/2.jpg
2	frying pan	(103,117,82,73)	8	data2/ham-egg/2.jpg
2	ham	(60,173,39,37)	3	data2/ham-egg/2.jpg
2	frying pan	(103,117,82,73)	8	data2/ham-egg/2.jpg
2	saltshaker	(23,162,42,56)	4	data2/ham-egg/2.jpg
2	frying pan	(103,117,82,73)	8	data2/ham-egg/2.jpg
2	cutting board	(15,115,50,53)	5	data2/ham-egg/2.jpg
2	frying pan	(103,117,82,73)	8	data2/ham-egg/2.jpg
2	knife	(13,111,54,58)	6	data2/ham-egg/2.jpg
2	frying pan	(103,117,82,73)	8	data2/ham-egg/2.jpg
3	frying pan	(103,117,82,73)	8	data2/ham-egg/3.jpg
3	egg	(73,221,23,21)	0	data2/ham-egg/3.jpg
3	frying pan	(103,117,82,73)	8	data2/ham-egg/3.jpg
3	pan handler	(195,76,36,53)	1	data2/ham-egg/3.jpg
3	frying pan	(103,117,82,73)	8	data2/ham-egg/3.jpg
3	bowl	(55,116,46,42)	2	data2/ham-egg/3.jpg
3	frying pan	(103,117,82,73)	8	data2/ham-egg/3.jpg
3	ham	(60,173,39,37)	3	data2/ham-egg/3.jpg
3	frying pan	(103,117,82,73)	8	data2/ham-egg/3.jpg
3	saltshaker	(23,162,42,56)	4	data2/ham-egg/3.jpg
3	frying pan	(103,117,82,73)	8	data2/ham-egg/3.jpg
3	cutting board	(15,115,50,53)	5	data2/ham-egg/3.jpg
3	frying pan	(103,117,82,73)	8	data2/ham-egg/3.jpg
3	knife	(13,111,54,58)	6	data2/ham-egg/3.jpg
3	frying pan	(103,117,82,73)	8	data2/ham-egg/3.jpg
4	frying pan	(103,117,82,73)	8	data2/ham-egg/4.jpg
4	egg	(73,221,23,21)	0	data2/ham-egg/4.jpg
4	frying pan	(103,117,82,73)	8	data2/ham-egg/4.jpg
4	pan handler	(195,76,36,53)	1	data2/ham-egg/4.jpg
4	frying pan	(103,117,82,73)	8	data2/ham-egg/4.jpg
4	bowl	(55,116,46,42)	2	data2/ham-egg/4.jpg
4	frying pan	(103,117,82,73)	8	data2/ham-egg/4.jpg
4	ham	(60,173,39,37)	3	data2/ham-egg/4.jpg
4	frying pan	(103,117,82,73)	8	data2/ham-egg/4.jpg
4	saltshaker	(23,162,42,56)	4	data2/ham-egg/4.jpg
4	frying pan	(103,117,82,73)	8	data2/ham-egg/4.jpg
4	cutting board	(15,115,50,53)	5	data2/ham-egg/4.jpg
