Frame:	Label:	Points:	Bounding Box ID:	Frame path:
0	shell_egg	(61,208,16,18)	7	/home/roger/KSCGR/data2/omelette/rgb256/0.jpg
0	bowl	(58,108,43,38)	17	/home/roger/KSCGR/data2/omelette/rgb256/0.jpg
0	pan_handle	(201,74,35,56)	15	/home/roger/KSCGR/data2/omelette/rgb256/0.jpg
0	milk_carton	(1,224,11,27)	23	/home/roger/KSCGR/data2/omelette/rgb256/0.jpg
0	saltshaker	(16,166,40,53)	26	/home/roger/KSCGR/data2/omelette/rgb256/0.jpg
0	spoon	(33,178,17,38)	27	/home/roger/KSCGR/data2/omelette/rgb256/0.jpg
0	chopstick	(247,97,9,25)	18	/home/roger/KSCGR/data2/omelette/rgb256/0.jpg
0	oil_bottle	(1,156,23,39)	24	/home/roger/KSCGR/data2/omelette/rgb256/0.jpg
1	shell_egg	(60,207,16,18)	7	/home/roger/KSCGR/data2/omelette/rgb256/1.jpg
1	bowl	(60,109,40,35)	17	/home/roger/KSCGR/data2/omelette/rgb256/1.jpg
1	pan_handle	(201,74,34,56)	15	/home/roger/KSCGR/data2/omelette/rgb256/1.jpg
1	milk_carton	(0,223,11,28)	23	/home/roger/KSCGR/data2/omelette/rgb256/1.jpg
1	saltshaker	(15,165,40,53)	26	/home/roger/KSCGR/data2/omelette/rgb256/1.jpg
1	spoon	(32,177,17,39)	27	/home/roger/KSCGR/data2/omelette/rgb256/1.jpg
1	chopstick	(246,97,9,24)	18	/home/roger/KSCGR/data2/omelette/rgb256/1.jpg
1	oil_bottle	(0,155,23,39)	24	/home/roger/KSCGR/data2/omelette/rgb256/1.jpg
2	shell_egg	(60,208,16,18)	7	/home/roger/KSCGR/data2/omelette/rgb256/2.jpg
2	bowl	(58,108,42,37)	17	/home/roger/KSCGR/data2/omelette/rgb256/2.jpg
2	pan_handle	(200,74,34,55)	15	/home/roger/KSCGR/data2/omelette/rgb256/2.jpg
2	milk_carton	(0,224,11,26)	23	/home/roger/KSCGR/data2/omelette/rgb256/2.jpg
2	saltshaker	(15,166,39,52)	26	/home/roger/KSCGR/data2/omelette/rgb256/2.jpg
2	spoon	(32,177,18,39)	27	/home/roger/KSCGR/data2/omelette/rgb256/2.jpg
2	chopstick	(247,97,9,24)	18	/home/roger/KSCGR/data2/omelette/rgb256/2.jpg
2	oil_bottle	(1,156,23,39)	24	/home/roger/KSCGR/data2/omelette/rgb256/2.jpg
3	shell_egg	(61,208,16,18)	7	/home/roger/KSCGR/data2/omelette/rgb256/3.jpg
3	bowl	(58,107,43,39)	17	/home/roger/KSCGR/data2/omelette/rgb256/3.jpg
