Frame:	Label:	Points:	Bounding Box ID:	Frame path: data2/scrambled-egg/
0	bowl	(46,131,47,42)	17	0.jpg
0	chopstick	(246,101,10,26)	18	0.jpg
0	ham	(62,179,32,30)	12	0.jpg
0	knife	(35,99,20,72)	22	0.jpg
0	cutting_board	(12,115,47,57)	19	0.jpg
0	saltshaker	(16,159,36,49)	26	0.jpg
0	spoon	(30,170,15,33)	27	0.jpg
0	pan_handle	(202,79,36,50)	15	0.jpg
0	oil_bottle	(2,147,21,43)	24	0.jpg
1	shell_egg	(78,206,14,16)	7	1.jpg
1	bowl	(45,129,50,45)	17	1.jpg
1	chopstick	(245,101,11,26)	18	1.jpg
1	ham	(61,179,32,29)	12	1.jpg
1	knife	(35,98,20,73)	22	1.jpg
1	cutting_board	(11,114,47,58)	19	1.jpg
1	saltshaker	(16,158,37,50)	26	1.jpg
1	spoon	(30,169,15,34)	27	1.jpg
1	pan_handle	(203,79,35,49)	15	1.jpg
1	oil_bottle	(2,146,21,44)	24	1.jpg
2	shell_egg	(77,206,14,17)	7	2.jpg
2	bowl	(46,130,47,43)	17	2.jpg
2	chopstick	(245,100,11,27)	18	2.jpg
2	ham	(63,179,31,29)	12	2.jpg
2	knife	(35,98,20,73)	22	2.jpg
2	cutting_board	(11,115,46,56)	19	2.jpg
2	saltshaker	(14,158,37,49)	26	2.jpg
2	spoon	(29,169,15,34)	27	2.jpg
2	pan_handle	(202,79,36,50)	15	2.jpg
2	oil_bottle	(1,146,22,44)	24	2.jpg
3	shell_egg	(78,206,14,17)	7	3.jpg
3	bowl	(45,130,47,42)	17	3.jpg
3	chopstick	(246,100,10,27)	18	3.jpg
3	ham	(62,179,32,29)	12	3.jpg
3	knife	(35,99,20,72)	22	3.jpg
3	cutting_board	(13,115,46,56)	19	3.jpg
3	saltshaker	(16,158,37,50)	26	3.jpg
3	spoon	(30,170,14,32)	27	3.jpg
3	pan_handle	(202,79,36,50)	15	3.jpg
3	oil_bottle	(2,146,21,44)	24	3.jpg
4	shell_egg	(77,206,14,16)	7	4.jpg
4	bowl	(45,130,47,42)	17	4.jpg
4	chopstick	(245,100,10,27)	18	4.jpg
4	ham	(61,179,31,29)	12	4.jpg
4	knife	(34,98,20,73)	22	4.jpg
4	cutting_board	(11,115,45,55)	19	4.jpg
4	saltshaker	(14,157,38,51)	26	4.jpg
4	spoon	(30,169,15,34)	27	4.jpg
4	pan_handle	(201,79,36,49)	15	4.jpg
4	oil_bottle	(1,146,21,44)	24	4.jpg
5	shell_egg	(77,206,14,17)	7	5.jpg
5	bowl	(43,129,50,45)	17	5.jpg
5	chopstick	(246,100,10,28)	18	5.jpg
5	ham	(63,179,31,29)	12	5.jpg
5	knife	(35,101,19,69)	22	5.jpg
5	cutting_board	(13,115,46,56)	19	5.jpg
5	saltshaker	(15,158,36,49)	26	5.jpg
5	spoon	(30,169,15,33)	27	5.jpg
5	pan_handle	(201,79,36,49)	15	5.jpg
5	oil_bottle	(1,146,22,45)	24	5.jpg
6	shell_egg	(78,206,14,17)	7	6.jpg
6	bowl	(46,130,49,44)	17	6.jpg
6	chopstick	(245,100,11,27)	18	6.jpg
6	ham	(62,179,32,29)	12	6.jpg
6	knife	(35,98,20,72)	22	6.jpg
6	cutting_board	(12,115,47,56)	19	6.jpg
6	saltshaker	(16,158,36,49)	26	6.jpg
6	spoon	(30,169,15,33)	27	6.jpg
6	pan_handle	(201,78,36,50)	15	6.jpg
6	oil_bottle	(2,146,21,43)	24	6.jpg
7	shell_egg	(77,206,14,17)	7	7.jpg
7	bowl	(43,129,50,45)	17	7.jpg
7	chopstick	(245,100,11,27)	18	7.jpg
7	ham	(61,179,32,29)	12	7.jpg
7	knife	(34,98,20,72)	22	7.jpg
7	cutting_board	(12,115,47,56)	19	7.jpg
7	saltshaker	(15,159,35,48)	26	7.jpg
7	spoon	(29,169,15,33)	27	7.jpg
7	pan_handle	(201,78,37,50)	15	7.jpg
7	oil_bottle	(1,147,21,42)	24	7.jpg
8	shell_egg	(77,206,15,17)	7	8.jpg
8	bowl	(45,129,50,45)	17	8.jpg
8	chopstick	(245,100,11,27)	18	8.jpg
8	ham	(62,179,32,29)	12	8.jpg
8	knife	(35,98,20,72)	22	8.jpg
8	cutting_board	(11,115,46,56)	19	8.jpg
8	saltshaker	(16,159,37,49)	26	8.jpg
8	spoon	(30,170,14,32)	27	8.jpg
8	pan_handle	(203,79,35,49)	15	8.jpg
8	oil_bottle	(2,147,21,42)	24	8.jpg
9	shell_egg	(77,206,14,16)	7	9.jpg
9	bowl	(43,129,50,45)	17	9.jpg
9	chopstick	(246,100,10,27)	18	9.jpg
9	ham	(61,178,33,30)	12	9.jpg
9	knife	(34,96,20,75)	22	9.jpg
9	cutting_board	(13,115,46,56)	19	9.jpg
9	saltshaker	(14,158,37,50)	26	9.jpg
9	spoon	(30,170,15,32)	27	9.jpg
9	pan_handle	(202,79,35,48)	15	9.jpg
9	oil_bottle	(1,146,21,43)	24	9.jpg
10	shell_egg	(77,206,14,16)	7	10.jpg
10	bowl	(45,129,49,45)	17	10.jpg
10	chopstick	(245,100,11,27)	18	10.jpg
10	ham	(61,179,31,29)	12	10.jpg
10	knife	(35,98,20,73)	22	10.jpg
10	cutting_board	(10,113,49,59)	19	10.jpg
10	saltshaker	(16,158,37,51)	26	10.jpg
10	spoon	(30,170,15,32)	27	10.jpg
10	pan_handle	(202,79,35,50)	15	10.jpg
10	oil_bottle	(1,146,21,44)	24	10.jpg
11	shell_egg	(78,206,14,16)	7	11.jpg
11	bowl	(46,130,47,42)	17	11.jpg
11	chopstick	(245,100,11,26)	18	11.jpg
11	ham	(63,179,31,29)	12	11.jpg
11	knife	(33,96,21,75)	22	11.jpg
11	cutting_board	(11,114,48,58)	19	11.jpg
11	saltshaker	(14,157,37,51)	26	11.jpg
11	spoon	(29,169,15,34)	27	11.jpg
11	pan_handle	(203,79,35,49)	15	11.jpg
11	oil_bottle	(2,146,21,43)	24	11.jpg
12	shell_egg	(77,206,14,16)	7	12.jpg
12	bowl	(43,129,50,44)	17	12.jpg
12	chopstick	(245,101,10,25)	18	12.jpg
12	ham	(61,179,31,29)	12	12.jpg
12	knife	(35,98,20,73)	22	12.jpg
12	cutting_board	(11,114,48,58)	19	12.jpg
12	saltshaker	(16,158,37,50)	26	12.jpg
12	spoon	(30,170,15,32)	27	12.jpg
12	pan_handle	(202,79,35,50)	15	12.jpg
12	oil_bottle	(2,146,21,44)	24	12.jpg
13	shell_egg	(78,207,14,15)	7	13.jpg
13	bowl	(45,129,50,45)	17	13.jpg
13	chopstick	(245,100,10,27)	18	13.jpg
13	ham	(62,179,31,29)	12	13.jpg
13	knife	(35,98,20,72)	22	13.jpg
