Frame:	Label:	Points:	Bounding Box ID:	Frame path: data3/omelette/
0	ham	(65,178,34,32)	12	0.jpg
0	bowl	(50,126,47,40)	17	0.jpg
0	frying_pan	(100,90,82,100)	14	0.jpg
0	knife	(12,102,44,70)	22	0.jpg
0	cutting_board	(6,110,52,64)	19	0.jpg
0	oil_bottle	(0,149,35,43)	24	0.jpg
0	shell_egg	(74,231,23,22)	7	0.jpg
0	saltshaker	(28,162,35,52)	26	0.jpg
0	spoon	(37,171,16,39)	27	0.jpg
1	ham	(64,178,34,31)	12	1.jpg
1	bowl	(49,124,50,43)	17	1.jpg
1	frying_pan	(100,89,81,100)	14	1.jpg
1	knife	(10,101,44,70)	22	1.jpg
1	cutting_board	(4,109,52,64)	19	1.jpg
1	oil_bottle	(0,149,33,42)	24	1.jpg
1	shell_egg	(74,231,23,22)	7	1.jpg
1	saltshaker	(28,161,36,53)	26	1.jpg
1	spoon	(36,170,16,39)	27	1.jpg
2	ham	(65,178,33,31)	12	2.jpg
2	bowl	(50,126,47,40)	17	2.jpg
2	frying_pan	(99,89,82,100)	14	2.jpg
2	knife	(13,103,43,69)	22	2.jpg
2	cutting_board	(7,110,52,64)	19	2.jpg
2	oil_bottle	(0,147,36,46)	24	2.jpg
2	shell_egg	(74,231,23,22)	7	2.jpg
2	saltshaker	(27,161,34,52)	26	2.jpg
2	spoon	(37,170,16,40)	27	2.jpg
3	ham	(65,178,34,32)	12	3.jpg
3	bowl	(50,127,44,38)	17	3.jpg
3	frying_pan	(100,90,81,99)	14	3.jpg
3	knife	(11,102,43,69)	22	3.jpg
3	cutting_board	(5,110,52,64)	19	3.jpg
3	oil_bottle	(0,148,35,44)	24	3.jpg
3	shell_egg	(74,231,23,22)	7	3.jpg
3	saltshaker	(28,161,35,53)	26	3.jpg
3	spoon	(36,171,16,39)	27	3.jpg
4	ham	(64,178,33,31)	12	4.jpg
4	bowl	(52,127,44,37)	17	4.jpg
4	frying_pan	(100,90,81,99)	14	4.jpg
4	knife	(11,102,44,69)	22	4.jpg
4	cutting_board	(7,110,52,63)	19	4.jpg
4	oil_bottle	(0,147,36,46)	24	4.jpg
4	shell_egg	(74,231,23,22)	7	4.jpg
4	saltshaker	(27,161,36,53)	26	4.jpg
4	spoon	(37,171,16,39)	27	4.jpg
5	ham	(66,178,33,31)	12	5.jpg
5	bowl	(50,126,47,39)	17	5.jpg
5	frying_pan	(100,90,81,99)	14	5.jpg
5	knife	(10,101,44,70)	22	5.jpg
5	cutting_board	(6,111,50,62)	19	5.jpg
5	oil_bottle	(0,149,33,42)	24	5.jpg
5	shell_egg	(74,231,23,22)	7	5.jpg
5	saltshaker	(26,161,36,53)	26	5.jpg
5	spoon	(36,171,16,39)	27	5.jpg
6	ham	(64,177,34,32)	12	6.jpg
6	bowl	(49,126,45,39)	17	6.jpg
6	frying_pan	(98,90,81,99)	14	6.jpg
6	knife	(11,102,44,69)	22	6.jpg
6	cutting_board	(7,110,51,63)	19	6.jpg
6	oil_bottle	(0,148,36,45)	24	6.jpg
6	shell_egg	(74,231,23,22)	7	6.jpg
6	saltshaker	(28,161,34,52)	26	6.jpg
6	spoon	(37,172,15,37)	27	6.jpg
7	ham	(64,178,35,32)	12	7.jpg
7	bowl	(52,127,44,37)	17	7.jpg
7	frying_pan	(99,89,84,102)	14	7.jpg
7	knife	(10,102,44,69)	22	7.jpg
7	cutting_board	(6,110,51,63)	19	7.jpg
7	oil_bottle	(0,149,33,42)	24	7.jpg
7	shell_egg	(74,231,23,22)	7	7.jpg
7	saltshaker	(28,161,36,53)	26	7.jpg
7	spoon	(36,171,16,39)	27	7.jpg
8	ham	(64,178,33,31)	12	8.jpg
8	bowl	(50,126,44,38)	17	8.jpg
8	frying_pan	(99,90,82,100)	14	8.jpg
8	knife	(13,103,43,69)	22	8.jpg
8	cutting_board	(4,109,52,64)	19	8.jpg
8	oil_bottle	(0,147,36,46)	24	8.jpg
8	shell_egg	(74,231,23,22)	7	8.jpg
8	saltshaker	(26,161,36,53)	26	8.jpg
8	spoon	(36,171,16,39)	27	8.jpg
