Frame:	Label:	Points:	Bounding Box ID:	Frame path:
0	egg	(56,238,22,19)	0	data3/scramble-egg/0.jpg
0	bowl	(54,118,43,41)	1	data3/scramble-egg/0.jpg
0	oil bottle	(0,174,21,44)	2	data3/scramble-egg/0.jpg
0	frying pan	(103,89,82,101)	3	data3/scramble-egg/0.jpg
0	saltshaker	(15,170,44,50)	4	data3/scramble-egg/0.jpg
0	spoon	(29,180,20,36)	5	data3/scramble-egg/0.jpg
1	egg	(56,238,22,19)	0	data3/scramble-egg/1.jpg
1	bowl	(54,118,43,41)	1	data3/scramble-egg/1.jpg
1	oil bottle	(0,174,21,44)	2	data3/scramble-egg/1.jpg
1	frying pan	(103,89,82,101)	3	data3/scramble-egg/1.jpg
1	saltshaker	(15,170,44,50)	4	data3/scramble-egg/1.jpg
1	spoon	(29,180,20,36)	5	data3/scramble-egg/1.jpg
2	egg	(56,238,22,19)	0	data3/scramble-egg/2.jpg
2	bowl	(54,118,43,41)	1	data3/scramble-egg/2.jpg
2	oil bottle	(0,174,21,44)	2	data3/scramble-egg/2.jpg
2	frying pan	(103,89,82,101)	3	data3/scramble-egg/2.jpg
2	saltshaker	(15,170,44,50)	4	data3/scramble-egg/2.jpg
2	spoon	(29,180,20,36)	5	data3/scramble-egg/2.jpg
3	egg	(56,238,22,19)	0	data3/scramble-egg/3.jpg
3	bowl	(54,118,43,41)	1	data3/scramble-egg/3.jpg
3	oil bottle	(0,174,21,44)	2	data3/scramble-egg/3.jpg
3	frying pan	(103,89,82,101)	3	data3/scramble-egg/3.jpg
3	saltshaker	(15,170,44,50)	4	data3/scramble-egg/3.jpg
3	spoon	(29,180,20,36)	5	data3/scramble-egg/3.jpg
4	egg	(56,238,22,19)	0	data3/scramble-egg/4.jpg
4	bowl	(54,118,43,41)	1	data3/scramble-egg/4.jpg
4	oil bottle	(0,174,21,44)	2	data3/scramble-egg/4.jpg
4	frying pan	(103,89,82,101)	3	data3/scramble-egg/4.jpg
4	saltshaker	(15,170,44,50)	4	data3/scramble-egg/4.jpg
4	spoon	(29,180,20,36)	5	data3/scramble-egg/4.jpg
5	egg	(56,238,22,19)	0	data3/scramble-egg/5.jpg
5	bowl	(54,118,43,41)	1	data3/scramble-egg/5.jpg
5	oil bottle	(0,174,21,44)	2	data3/scramble-egg/5.jpg
5	frying pan	(103,89,82,101)	3	data3/scramble-egg/5.jpg
5	saltshaker	(15,170,44,50)	4	data3/scramble-egg/5.jpg
5	spoon	(29,180,20,36)	5	data3/scramble-egg/5.jpg
6	egg	(56,238,22,19)	0	data3/scramble-egg/6.jpg
6	bowl	(54,118,43,41)	1	data3/scramble-egg/6.jpg
6	oil bottle	(0,174,21,44)	2	data3/scramble-egg/6.jpg
6	frying pan	(103,89,82,101)	3	data3/scramble-egg/6.jpg
6	saltshaker	(15,170,44,50)	4	data3/scramble-egg/6.jpg
6	spoon	(29,180,20,36)	5	data3/scramble-egg/6.jpg
7	egg	(56,238,22,19)	0	data3/scramble-egg/7.jpg
7	bowl	(54,118,43,41)	1	data3/scramble-egg/7.jpg
7	oil bottle	(0,174,21,44)	2	data3/scramble-egg/7.jpg
7	frying pan	(103,89,82,101)	3	data3/scramble-egg/7.jpg
7	saltshaker	(15,170,44,50)	4	data3/scramble-egg/7.jpg
7	spoon	(29,180,20,36)	5	data3/scramble-egg/7.jpg
8	egg	(56,238,22,19)	0	data3/scramble-egg/8.jpg
8	bowl	(54,118,43,41)	1	data3/scramble-egg/8.jpg
8	oil bottle	(0,174,21,44)	2	data3/scramble-egg/8.jpg
8	frying pan	(103,89,82,101)	3	data3/scramble-egg/8.jpg
8	saltshaker	(15,170,44,50)	4	data3/scramble-egg/8.jpg
8	spoon	(29,180,20,36)	5	data3/scramble-egg/8.jpg
9	egg	(56,238,22,19)	0	data3/scramble-egg/9.jpg
9	bowl	(54,118,43,41)	1	data3/scramble-egg/9.jpg
9	oil bottle	(0,174,21,44)	2	data3/scramble-egg/9.jpg
9	frying pan	(103,89,82,101)	3	data3/scramble-egg/9.jpg
9	saltshaker	(15,170,44,50)	4	data3/scramble-egg/9.jpg
9	spoon	(29,180,20,36)	5	data3/scramble-egg/9.jpg
10	egg	(56,238,22,19)	0	data3/scramble-egg/10.jpg
10	bowl	(54,118,43,41)	1	data3/scramble-egg/10.jpg
10	oil bottle	(0,174,21,44)	2	data3/scramble-egg/10.jpg
10	frying pan	(103,89,82,101)	3	data3/scramble-egg/10.jpg
10	saltshaker	(15,170,44,50)	4	data3/scramble-egg/10.jpg
10	spoon	(29,180,20,36)	5	data3/scramble-egg/10.jpg
11	egg	(56,238,22,19)	0	data3/scramble-egg/11.jpg
11	bowl	(54,118,43,41)	1	data3/scramble-egg/11.jpg
11	oil bottle	(0,174,21,44)	2	data3/scramble-egg/11.jpg
11	frying pan	(103,89,82,101)	3	data3/scramble-egg/11.jpg
11	saltshaker	(15,170,44,50)	4	data3/scramble-egg/11.jpg
11	spoon	(29,180,20,36)	5	data3/scramble-egg/11.jpg
12	egg	(56,238,22,19)	0	data3/scramble-egg/12.jpg
12	bowl	(54,118,43,41)	1	data3/scramble-egg/12.jpg
12	oil bottle	(0,174,21,44)	2	data3/scramble-egg/12.jpg
12	frying pan	(103,89,82,101)	3	data3/scramble-egg/12.jpg
12	saltshaker	(15,170,44,50)	4	data3/scramble-egg/12.jpg
12	spoon	(29,180,20,36)	5	data3/scramble-egg/12.jpg
13	egg	(56,238,22,19)	0	data3/scramble-egg/13.jpg
13	bowl	(54,118,43,41)	1	data3/scramble-egg/13.jpg
13	oil bottle	(0,174,21,44)	2	data3/scramble-egg/13.jpg
13	frying pan	(103,89,82,101)	3	data3/scramble-egg/13.jpg
13	saltshaker	(15,170,44,50)	4	data3/scramble-egg/13.jpg
13	spoon	(29,180,20,36)	5	data3/scramble-egg/13.jpg
14	egg	(56,238,22,19)	0	data3/scramble-egg/14.jpg
14	bowl	(54,118,43,41)	1	data3/scramble-egg/14.jpg
14	oil bottle	(0,174,21,44)	2	data3/scramble-egg/14.jpg
14	frying pan	(103,89,82,101)	3	data3/scramble-egg/14.jpg
14	saltshaker	(15,170,44,50)	4	data3/scramble-egg/14.jpg
14	spoon	(29,180,20,36)	5	data3/scramble-egg/14.jpg
15	egg	(56,238,22,19)	0	data3/scramble-egg/15.jpg
15	bowl	(54,118,43,41)	1	data3/scramble-egg/15.jpg
15	oil bottle	(0,174,21,44)	2	data3/scramble-egg/15.jpg
15	frying pan	(103,89,82,101)	3	data3/scramble-egg/15.jpg
15	saltshaker	(15,170,44,50)	4	data3/scramble-egg/15.jpg
15	spoon	(29,180,20,36)	5	data3/scramble-egg/15.jpg
16	egg	(56,238,22,19)	0	data3/scramble-egg/16.jpg
16	bowl	(54,118,43,41)	1	data3/scramble-egg/16.jpg
16	oil bottle	(0,174,21,44)	2	data3/scramble-egg/16.jpg
16	frying pan	(103,89,82,101)	3	data3/scramble-egg/16.jpg
16	saltshaker	(15,170,44,50)	4	data3/scramble-egg/16.jpg
16	spoon	(29,180,20,36)	5	data3/scramble-egg/16.jpg
17	egg	(56,238,22,19)	0	data3/scramble-egg/17.jpg
17	bowl	(54,118,43,41)	1	data3/scramble-egg/17.jpg
17	oil bottle	(0,174,21,44)	2	data3/scramble-egg/17.jpg
17	frying pan	(103,89,82,101)	3	data3/scramble-egg/17.jpg
17	saltshaker	(15,170,44,50)	4	data3/scramble-egg/17.jpg
17	spoon	(29,180,20,36)	5	data3/scramble-egg/17.jpg
18	egg	(56,238,22,19)	0	data3/scramble-egg/18.jpg
18	bowl	(54,118,43,41)	1	data3/scramble-egg/18.jpg
18	oil bottle	(0,174,21,44)	2	data3/scramble-egg/18.jpg
18	frying pan	(103,89,82,101)	3	data3/scramble-egg/18.jpg
18	saltshaker	(15,170,44,50)	4	data3/scramble-egg/18.jpg
18	spoon	(29,180,20,36)	5	data3/scramble-egg/18.jpg
19	egg	(56,238,22,19)	0	data3/scramble-egg/19.jpg
19	bowl	(54,118,43,41)	1	data3/scramble-egg/19.jpg
19	oil bottle	(0,174,21,44)	2	data3/scramble-egg/19.jpg
19	frying pan	(103,89,82,101)	3	data3/scramble-egg/19.jpg
19	saltshaker	(15,170,44,50)	4	data3/scramble-egg/19.jpg
19	spoon	(29,180,20,36)	5	data3/scramble-egg/19.jpg
20	egg	(56,238,22,19)	0	data3/scramble-egg/20.jpg
20	bowl	(54,118,43,41)	1	data3/scramble-egg/20.jpg
20	oil bottle	(0,174,21,44)	2	data3/scramble-egg/20.jpg
20	frying pan	(103,89,82,101)	3	data3/scramble-egg/20.jpg
20	saltshaker	(15,170,44,50)	4	data3/scramble-egg/20.jpg
20	spoon	(29,180,20,36)	5	data3/scramble-egg/20.jpg
21	egg	(56,238,22,19)	0	data3/scramble-egg/21.jpg
21	bowl	(54,118,43,41)	1	data3/scramble-egg/21.jpg
21	oil bottle	(0,174,21,44)	2	data3/scramble-egg/21.jpg
21	frying pan	(103,89,82,101)	3	data3/scramble-egg/21.jpg
21	saltshaker	(15,170,44,50)	4	data3/scramble-egg/21.jpg
21	spoon	(29,180,20,36)	5	data3/scramble-egg/21.jpg
22	egg	(56,238,22,19)	0	data3/scramble-egg/22.jpg
22	bowl	(54,118,43,41)	1	data3/scramble-egg/22.jpg
22	oil bottle	(0,174,21,44)	2	data3/scramble-egg/22.jpg
22	frying pan	(103,89,82,101)	3	data3/scramble-egg/22.jpg
22	saltshaker	(15,170,44,50)	4	data3/scramble-egg/22.jpg
22	spoon	(29,180,20,36)	5	data3/scramble-egg/22.jpg
23	egg	(56,238,22,19)	0	data3/scramble-egg/23.jpg
