Frame	Subject	Relation	Object
0	None	None	None
1	None	None	None
2	None	None	None
3	None	None	None
4	None	None	None
5	None	None	None
6	None	None	None
7	None	None	None
8	None	None	None
9	None	None	None
10	None	None	None
11	None	None	None
12	None	None	None
13	None	None	None
14	None	None	None
15	None	None	None
16	None	None	None
17	None	None	None
18	None	None	None
19	None	None	None
20	None	None	None
21	None	None	None
22	None	None	None
23	None	None	None
24	None	None	None
25	None	None	None
26	None	None	None
27	None	None	None
28	None	None	None
29	None	None	None
30	None	None	None
31	None	None	None
32	None	None	None
33	None	None	None
34	None	None	None
35	None	None	None
36	None	None	None
37	None	None	None
38	None	None	None
39	None	None	None
40	None	None	None
41	None	None	None
42	None	None	None
43	None	None	None
44	None	None	None
45	None	None	None
46	None	None	None
47	None	None	None
48	None	None	None
49	None	None	None
50	None	None	None
51	None	None	None
52	None	None	None
53	None	None	None
54	None	None	None
55	None	None	None
56	None	None	None
57	None	None	None
58	None	None	None
59	None	None	None
60	None	None	None
61	None	None	None
62	None	None	None
63	None	None	None
64	None	None	None
65	None	None	None
66	None	None	None
67	None	None	None
68	None	None	None
69	None	None	None
70	None	None	None
71	None	None	None
72	None	None	None
73	None	None	None
74	None	None	None
75	None	None	None
76	None	None	None
77	None	None	None
78	None	None	None
79	None	None	None
80	None	None	None
81	None	None	None
82	None	None	None
83	None	None	None
84	None	None	None
85	None	None	None
86	None	None	None
87	None	None	None
88	None	None	None
89	None	None	None
90	None	None	None
91	None	None	None
92	None	None	None
93	None	None	None
94	None	None	None
95	None	None	None
96	None	None	None
97	None	None	None
98	None	None	None
99	None	None	None
100	None	None	None
101	None	None	None
102	None	None	None
103	None	None	None
104	None	None	None
105	None	None	None
106	None	None	None
107	None	None	None
108	None	None	None
109	None	None	None
110	None	None	None
111	None	None	None
112	None	None	None
113	None	None	None
114	None	None	None
115	None	None	None
116	None	None	None
117	None	None	None
118	None	None	None
119	None	None	None
120	None	None	None
121	None	None	None
122	None	None	None
123	None	None	None
124	None	None	None
125	None	None	None
126	person	holding	pan_handle
127	person	holding	pan_handle
128	person	holding	pan_handle
129	person	holding	pan_handle
130	person	holding	pan_handle
131	person	holding	pan_handle
132	person	holding	pan_handle
133	person	holding	pan_handle
134	person	holding	pan_handle
135	person	holding	pan_handle
135	person	moving	pan_handle
136	person	holding	pan_handle
136	person	moving	pan_handle
137	person	holding	pan_handle
137	person	moving	pan_handle
138	person	holding	pan_handle
138	person	moving	pan_handle
139	person	holding	pan_handle
139	person	moving	pan_handle
140	person	holding	pan_handle
140	person	moving	pan_handle
141	person	holding	pan_handle
141	person	moving	pan_handle
142	person	holding	pan_handle
142	person	moving	pan_handle
143	person	holding	pan_handle
143	person	moving	pan_handle
144	person	holding	pan_handle
144	person	moving	pan_handle
145	person	holding	pan_handle
145	person	moving	pan_handle
146	person	holding	pan_handle
146	person	moving	pan_handle
147	person	holding	pan_handle
147	person	moving	pan_handle
148	person	holding	pan_handle
148	person	moving	pan_handle
149	person	holding	pan_handle
149	person	moving	pan_handle
150	person	holding	pan_handle
150	person	moving	pan_handle
151	person	holding	pan_handle
151	person	moving	pan_handle
152	person	holding	pan_handle
152	person	moving	pan_handle
153	person	holding	pan_handle
153	person	moving	pan_handle
154	person	holding	pan_handle
154	person	moving	pan_handle
155	person	holding	pan_handle
155	person	moving	pan_handle
156	person	holding	pan_handle
156	person	moving	pan_handle
157	person	holding	pan_handle
157	person	moving	pan_handle
158	person	holding	pan_handle
158	person	moving	pan_handle
159	person	holding	pan_handle
159	person	moving	pan_handle
160	person	holding	pan_handle
160	person	moving	pan_handle
161	person	holding	pan_handle
