Frame:	Label:	Points:	Bounding Box ID:	Frame path: data4/kinshi-egg/
0	shell_egg	(74,225,22,23)	7	0.jpg
0	pan_handle	(191,82,31,46)	15	0.jpg
0	bowl	(49,132,45,44)	17	0.jpg
0	knife	(24,108,34,70)	22	0.jpg
0	cutting_board	(9,115,55,61)	19	0.jpg
0	oil_bottle	(1,150,30,49)	24	0.jpg
1	shell_egg	(74,225,22,23)	7	1.jpg
1	pan_handle	(191,82,31,46)	15	1.jpg
1	bowl	(49,132,45,44)	17	1.jpg
1	knife	(24,108,34,70)	22	1.jpg
1	cutting_board	(9,115,55,61)	19	1.jpg
1	oil_bottle	(1,150,30,49)	24	1.jpg
2	shell_egg	(74,225,22,23)	7	2.jpg
2	pan_handle	(191,82,31,46)	15	2.jpg
2	bowl	(49,132,45,44)	17	2.jpg
2	knife	(24,108,34,70)	22	2.jpg
2	cutting_board	(9,115,55,61)	19	2.jpg
2	oil_bottle	(1,150,30,49)	24	2.jpg
3	shell_egg	(74,225,22,23)	7	3.jpg
3	pan_handle	(191,82,31,46)	15	3.jpg
3	bowl	(49,132,45,44)	17	3.jpg
3	knife	(24,108,34,70)	22	3.jpg
3	cutting_board	(9,115,55,61)	19	3.jpg
3	oil_bottle	(1,150,30,49)	24	3.jpg
4	shell_egg	(74,225,22,23)	7	4.jpg
4	pan_handle	(191,82,31,46)	15	4.jpg
4	bowl	(49,132,45,44)	17	4.jpg
4	knife	(24,108,34,70)	22	4.jpg
4	cutting_board	(9,115,55,61)	19	4.jpg
4	oil_bottle	(1,150,30,49)	24	4.jpg
5	shell_egg	(74,225,22,23)	7	5.jpg
5	pan_handle	(191,82,31,46)	15	5.jpg
5	bowl	(49,132,45,44)	17	5.jpg
5	knife	(24,108,34,70)	22	5.jpg
5	cutting_board	(9,115,55,61)	19	5.jpg
5	oil_bottle	(1,150,30,49)	24	5.jpg
6	shell_egg	(74,225,22,23)	7	6.jpg
6	pan_handle	(191,82,31,46)	15	6.jpg
6	bowl	(49,132,45,44)	17	6.jpg
6	knife	(24,108,34,70)	22	6.jpg
6	cutting_board	(9,115,55,61)	19	6.jpg
6	oil_bottle	(1,150,30,49)	24	6.jpg
7	shell_egg	(74,225,22,23)	7	7.jpg
7	pan_handle	(191,82,31,46)	15	7.jpg
7	bowl	(49,132,45,44)	17	7.jpg
7	knife	(24,108,34,70)	22	7.jpg
7	cutting_board	(9,115,55,61)	19	7.jpg
7	oil_bottle	(1,150,30,49)	24	7.jpg
8	shell_egg	(74,225,22,23)	7	8.jpg
8	pan_handle	(191,82,31,46)	15	8.jpg
8	bowl	(49,132,45,44)	17	8.jpg
8	knife	(24,108,34,70)	22	8.jpg
8	cutting_board	(9,115,55,61)	19	8.jpg
8	oil_bottle	(1,150,30,49)	24	8.jpg
9	shell_egg	(74,225,22,23)	7	9.jpg
9	pan_handle	(191,82,31,46)	15	9.jpg
9	bowl	(49,132,45,44)	17	9.jpg
9	knife	(24,108,34,70)	22	9.jpg
9	cutting_board	(9,115,55,61)	19	9.jpg
9	oil_bottle	(1,150,30,49)	24	9.jpg
10	shell_egg	(74,225,22,23)	7	10.jpg
10	pan_handle	(191,82,31,46)	15	10.jpg
10	bowl	(49,132,45,44)	17	10.jpg
10	knife	(24,108,34,70)	22	10.jpg
10	cutting_board	(9,115,55,61)	19	10.jpg
10	oil_bottle	(1,150,30,49)	24	10.jpg
11	shell_egg	(74,225,22,23)	7	11.jpg
11	pan_handle	(191,82,31,46)	15	11.jpg
11	bowl	(49,132,45,44)	17	11.jpg
11	knife	(24,108,34,70)	22	11.jpg
11	cutting_board	(9,115,55,61)	19	11.jpg
11	oil_bottle	(1,150,30,49)	24	11.jpg
12	shell_egg	(74,225,22,23)	7	12.jpg
12	pan_handle	(191,82,31,46)	15	12.jpg
12	bowl	(49,132,45,44)	17	12.jpg
12	knife	(24,108,34,70)	22	12.jpg
12	cutting_board	(9,115,55,61)	19	12.jpg
12	oil_bottle	(1,150,30,49)	24	12.jpg
13	shell_egg	(74,225,22,23)	7	13.jpg
13	pan_handle	(191,82,31,46)	15	13.jpg
13	bowl	(49,132,45,44)	17	13.jpg
13	knife	(24,108,34,70)	22	13.jpg
13	cutting_board	(9,115,55,61)	19	13.jpg
13	oil_bottle	(1,150,30,49)	24	13.jpg
14	shell_egg	(74,225,22,23)	7	14.jpg
14	pan_handle	(191,82,31,46)	15	14.jpg
14	bowl	(49,132,45,44)	17	14.jpg
14	knife	(24,108,34,70)	22	14.jpg
14	cutting_board	(9,115,55,61)	19	14.jpg
14	oil_bottle	(1,150,30,49)	24	14.jpg
15	shell_egg	(74,225,22,23)	7	15.jpg
15	pan_handle	(191,82,31,46)	15	15.jpg
15	bowl	(49,132,45,44)	17	15.jpg
15	knife	(24,108,34,70)	22	15.jpg
15	cutting_board	(9,115,55,61)	19	15.jpg
15	oil_bottle	(1,150,30,49)	24	15.jpg
16	shell_egg	(74,225,22,23)	7	16.jpg
16	pan_handle	(191,82,31,46)	15	16.jpg
16	bowl	(49,132,45,44)	17	16.jpg
16	knife	(24,108,34,70)	22	16.jpg
16	cutting_board	(9,115,55,61)	19	16.jpg
16	oil_bottle	(1,150,30,49)	24	16.jpg
17	shell_egg	(74,225,22,23)	7	17.jpg
17	pan_handle	(191,82,31,46)	15	17.jpg
17	bowl	(49,132,45,44)	17	17.jpg
17	knife	(24,108,34,70)	22	17.jpg
17	cutting_board	(9,115,55,61)	19	17.jpg
17	oil_bottle	(1,150,30,49)	24	17.jpg
18	shell_egg	(74,225,22,23)	7	18.jpg
18	pan_handle	(191,82,31,46)	15	18.jpg
18	bowl	(49,132,45,44)	17	18.jpg
18	knife	(24,108,34,70)	22	18.jpg
18	cutting_board	(9,115,55,61)	19	18.jpg
18	oil_bottle	(1,150,30,49)	24	18.jpg
19	shell_egg	(74,225,22,23)	7	19.jpg
19	pan_handle	(191,82,31,46)	15	19.jpg
19	bowl	(49,132,45,44)	17	19.jpg
19	knife	(24,108,34,70)	22	19.jpg
19	cutting_board	(9,115,55,61)	19	19.jpg
19	oil_bottle	(1,150,30,49)	24	19.jpg
20	shell_egg	(74,225,22,23)	7	20.jpg
20	pan_handle	(191,82,31,46)	15	20.jpg
20	bowl	(49,132,45,44)	17	20.jpg
20	knife	(24,108,34,70)	22	20.jpg
20	cutting_board	(9,115,55,61)	19	20.jpg
20	oil_bottle	(1,150,30,49)	24	20.jpg
21	shell_egg	(74,225,22,23)	7	21.jpg
21	pan_handle	(191,82,31,46)	15	21.jpg
21	bowl	(49,132,45,44)	17	21.jpg
21	knife	(24,108,34,70)	22	21.jpg
21	cutting_board	(9,115,55,61)	19	21.jpg
21	oil_bottle	(1,150,30,49)	24	21.jpg
22	shell_egg	(74,225,22,23)	7	22.jpg
22	pan_handle	(191,82,31,46)	15	22.jpg
22	bowl	(49,132,45,44)	17	22.jpg
22	knife	(24,108,34,70)	22	22.jpg
22	cutting_board	(9,115,55,61)	19	22.jpg
22	oil_bottle	(1,150,30,49)	24	22.jpg
23	shell_egg	(74,225,22,23)	7	23.jpg
23	pan_handle	(191,82,31,46)	15	23.jpg
23	bowl	(49,132,45,44)	17	23.jpg
23	knife	(24,108,34,70)	22	23.jpg
23	cutting_board	(9,115,55,61)	19	23.jpg
23	oil_bottle	(1,150,30,49)	24	23.jpg
24	shell_egg	(74,225,22,23)	7	24.jpg
24	pan_handle	(191,82,31,46)	15	24.jpg
24	bowl	(49,132,45,44)	17	24.jpg
24	knife	(24,108,34,70)	22	24.jpg
24	cutting_board	(9,115,55,61)	19	24.jpg
24	oil_bottle	(1,150,30,49)	24	24.jpg
25	shell_egg	(74,225,22,23)	7	25.jpg
25	pan_handle	(191,82,31,46)	15	25.jpg
25	bowl	(49,132,45,44)	17	25.jpg
25	knife	(24,108,34,70)	22	25.jpg
25	cutting_board	(9,115,55,61)	19	25.jpg
25	oil_bottle	(1,150,30,49)	24	25.jpg
26	shell_egg	(74,225,22,23)	7	26.jpg
26	pan_handle	(191,82,31,46)	15	26.jpg
26	bowl	(49,132,45,44)	17	26.jpg
26	knife	(24,108,34,70)	22	26.jpg
26	cutting_board	(9,115,55,61)	19	26.jpg
26	oil_bottle	(1,150,30,49)	24	26.jpg
27	shell_egg	(74,225,22,23)	7	27.jpg
27	pan_handle	(191,82,31,46)	15	27.jpg
27	bowl	(49,132,45,44)	17	27.jpg
27	knife	(24,108,34,70)	22	27.jpg
27	cutting_board	(9,115,55,61)	19	27.jpg
27	oil_bottle	(1,150,30,49)	24	27.jpg
28	shell_egg	(74,225,22,23)	7	28.jpg
28	pan_handle	(191,82,31,46)	15	28.jpg
28	bowl	(49,132,45,44)	17	28.jpg
28	knife	(24,108,34,70)	22	28.jpg
28	cutting_board	(9,115,55,61)	19	28.jpg
28	oil_bottle	(1,150,30,49)	24	28.jpg
29	shell_egg	(74,225,22,23)	7	29.jpg
29	pan_handle	(191,82,31,46)	15	29.jpg
29	bowl	(49,132,45,44)	17	29.jpg
29	knife	(24,108,34,70)	22	29.jpg
29	cutting_board	(9,115,55,61)	19	29.jpg
29	oil_bottle	(1,150,30,49)	24	29.jpg
30	shell_egg	(74,225,22,23)	7	30.jpg
30	pan_handle	(191,82,31,46)	15	30.jpg
30	bowl	(49,132,45,44)	17	30.jpg
30	knife	(24,108,34,70)	22	30.jpg
30	cutting_board	(9,115,55,61)	19	30.jpg
30	oil_bottle	(1,150,30,49)	24	30.jpg
31	shell_egg	(74,225,22,23)	7	31.jpg
31	pan_handle	(191,82,31,46)	15	31.jpg
31	bowl	(49,132,45,44)	17	31.jpg
31	knife	(24,108,34,70)	22	31.jpg
31	cutting_board	(9,115,55,61)	19	31.jpg
31	oil_bottle	(1,150,30,49)	24	31.jpg
32	shell_egg	(74,225,22,23)	7	32.jpg
32	pan_handle	(191,82,31,46)	15	32.jpg
32	bowl	(49,132,45,44)	17	32.jpg
32	knife	(24,108,34,70)	22	32.jpg
32	cutting_board	(9,115,55,61)	19	32.jpg
32	oil_bottle	(1,150,30,49)	24	32.jpg
33	shell_egg	(74,225,22,23)	7	33.jpg
33	pan_handle	(191,82,31,46)	15	33.jpg
33	bowl	(49,132,45,44)	17	33.jpg
33	knife	(24,108,34,70)	22	33.jpg
