Frame:	Label:	Points:	Bounding Box ID:	Frame path:
0	egg	(42,208,24,23)	0	data5/omelette/0.jpg
0	egg	(59,208,21,22)	1	data5/omelette/0.jpg
0	frying pan	(99,93,83,102)	2	data5/omelette/0.jpg
0	bowl	(50,122,44,40)	3	data5/omelette/0.jpg
0	knife	(28,104,28,66)	4	data5/omelette/0.jpg
0	cutting board	(8,111,57,60)	5	data5/omelette/0.jpg
0	ham	(63,175,32,29)	6	data5/omelette/0.jpg
0	saltshaker	(21,156,37,54)	7	data5/omelette/0.jpg
0	oil bottle	(0,145,26,47)	9	data5/omelette/0.jpg
1	egg	(42,208,24,23)	0	data5/omelette/1.jpg
1	egg	(59,208,21,22)	1	data5/omelette/1.jpg
1	frying pan	(99,93,83,102)	2	data5/omelette/1.jpg
1	bowl	(50,122,44,40)	3	data5/omelette/1.jpg
1	knife	(28,104,28,66)	4	data5/omelette/1.jpg
1	cutting board	(8,111,57,60)	5	data5/omelette/1.jpg
1	ham	(63,175,32,29)	6	data5/omelette/1.jpg
1	saltshaker	(21,156,37,54)	7	data5/omelette/1.jpg
1	oil bottle	(0,145,26,47)	9	data5/omelette/1.jpg
2	egg	(42,208,24,23)	0	data5/omelette/2.jpg
2	egg	(59,208,21,22)	1	data5/omelette/2.jpg
2	frying pan	(99,93,83,102)	2	data5/omelette/2.jpg
2	bowl	(50,122,44,40)	3	data5/omelette/2.jpg
2	knife	(28,104,28,66)	4	data5/omelette/2.jpg
2	cutting board	(8,111,57,60)	5	data5/omelette/2.jpg
2	ham	(63,175,32,29)	6	data5/omelette/2.jpg
2	saltshaker	(21,156,37,54)	7	data5/omelette/2.jpg
2	oil bottle	(0,145,26,47)	9	data5/omelette/2.jpg
3	egg	(42,208,24,23)	0	data5/omelette/3.jpg
3	egg	(59,208,21,22)	1	data5/omelette/3.jpg
3	frying pan	(99,93,83,102)	2	data5/omelette/3.jpg
3	bowl	(50,122,44,40)	3	data5/omelette/3.jpg
3	knife	(28,104,28,66)	4	data5/omelette/3.jpg
3	cutting board	(8,111,57,60)	5	data5/omelette/3.jpg
3	ham	(63,175,32,29)	6	data5/omelette/3.jpg
3	saltshaker	(21,156,37,54)	7	data5/omelette/3.jpg
3	oil bottle	(0,145,26,47)	9	data5/omelette/3.jpg
4	egg	(42,208,24,23)	0	data5/omelette/4.jpg
4	egg	(59,208,21,22)	1	data5/omelette/4.jpg
4	frying pan	(99,93,83,102)	2	data5/omelette/4.jpg
4	bowl	(50,122,44,40)	3	data5/omelette/4.jpg
4	knife	(28,104,28,66)	4	data5/omelette/4.jpg
4	cutting board	(8,111,57,60)	5	data5/omelette/4.jpg
4	ham	(63,175,32,29)	6	data5/omelette/4.jpg
4	saltshaker	(21,156,37,54)	7	data5/omelette/4.jpg
4	oil bottle	(0,145,26,47)	9	data5/omelette/4.jpg
5	egg	(42,208,24,23)	0	data5/omelette/5.jpg
5	egg	(59,208,21,22)	1	data5/omelette/5.jpg
5	frying pan	(99,93,83,102)	2	data5/omelette/5.jpg
5	bowl	(50,122,44,40)	3	data5/omelette/5.jpg
5	knife	(28,104,28,66)	4	data5/omelette/5.jpg
5	cutting board	(8,111,57,60)	5	data5/omelette/5.jpg
5	ham	(63,175,32,29)	6	data5/omelette/5.jpg
5	saltshaker	(21,156,37,54)	7	data5/omelette/5.jpg
5	oil bottle	(0,145,26,47)	9	data5/omelette/5.jpg
6	egg	(42,208,24,23)	0	data5/omelette/6.jpg
6	egg	(59,208,21,22)	1	data5/omelette/6.jpg
6	frying pan	(99,93,83,102)	2	data5/omelette/6.jpg
6	bowl	(50,122,44,40)	3	data5/omelette/6.jpg
6	knife	(28,104,28,66)	4	data5/omelette/6.jpg
6	cutting board	(8,111,57,60)	5	data5/omelette/6.jpg
6	ham	(63,175,32,29)	6	data5/omelette/6.jpg
6	saltshaker	(21,156,37,54)	7	data5/omelette/6.jpg
6	oil bottle	(0,145,26,47)	9	data5/omelette/6.jpg
7	egg	(42,208,24,23)	0	data5/omelette/7.jpg
7	egg	(59,208,21,22)	1	data5/omelette/7.jpg
7	frying pan	(99,93,83,102)	2	data5/omelette/7.jpg
7	bowl	(50,122,44,40)	3	data5/omelette/7.jpg
