Frame:	Label:	Points:	Bounding Box ID:	Frame path: data5/ham-egg/
0	shell_egg	(32,201,23,23)	7	0.jpg
0	shell_egg	(31,217,22,22)	7	0.jpg
0	knife	(30,105,23,68)	22	0.jpg
0	cutting_board	(6,112,54,59)	19	0.jpg
0	ham	(61,172,29,30)	12	0.jpg
0	oil_bottle	(0,145,26,47)	24	0.jpg
0	bowl	(49,122,44,44)	17	0.jpg
0	saltshaker	(18,153,38,57)	26	0.jpg
0	glass	(0,182,23,33)	21	0.jpg
0	pan_lid	(82,221,134,35)	16	0.jpg
0	frying_pan	(98,92,83,100)	14	0.jpg
1	shell_egg	(32,201,23,23)	7	1.jpg
1	shell_egg	(31,217,22,22)	7	1.jpg
1	knife	(30,105,23,68)	22	1.jpg
1	cutting_board	(6,112,54,59)	19	1.jpg
1	ham	(61,172,29,30)	12	1.jpg
1	oil_bottle	(0,145,26,47)	24	1.jpg
1	bowl	(49,122,44,44)	17	1.jpg
1	saltshaker	(18,153,38,57)	26	1.jpg
1	glass	(0,182,23,33)	21	1.jpg
1	pan_lid	(82,221,134,35)	16	1.jpg
1	frying_pan	(98,92,83,100)	14	1.jpg
2	shell_egg	(32,201,23,23)	7	2.jpg
2	shell_egg	(31,217,22,22)	7	2.jpg
2	knife	(30,105,23,68)	22	2.jpg
2	cutting_board	(6,112,54,59)	19	2.jpg
2	ham	(61,172,29,30)	12	2.jpg
2	oil_bottle	(0,145,26,47)	24	2.jpg
2	bowl	(49,122,44,44)	17	2.jpg
2	saltshaker	(18,153,38,57)	26	2.jpg
2	glass	(0,182,23,33)	21	2.jpg
2	pan_lid	(82,221,134,35)	16	2.jpg
2	frying_pan	(98,92,83,100)	14	2.jpg
3	shell_egg	(32,201,23,23)	7	3.jpg
3	shell_egg	(31,217,22,22)	7	3.jpg
3	knife	(30,105,23,68)	22	3.jpg
3	cutting_board	(6,112,54,59)	19	3.jpg
3	ham	(61,172,29,30)	12	3.jpg
3	oil_bottle	(0,145,26,47)	24	3.jpg
3	bowl	(49,122,44,44)	17	3.jpg
3	saltshaker	(18,153,38,57)	26	3.jpg
3	glass	(0,182,23,33)	21	3.jpg
3	pan_lid	(82,221,134,35)	16	3.jpg
3	frying_pan	(98,92,83,100)	14	3.jpg
4	shell_egg	(32,201,23,23)	7	4.jpg
4	shell_egg	(31,217,22,22)	7	4.jpg
4	knife	(30,105,23,68)	22	4.jpg
4	cutting_board	(6,112,54,59)	19	4.jpg
4	ham	(61,172,29,30)	12	4.jpg
4	oil_bottle	(0,145,26,47)	24	4.jpg
4	bowl	(49,122,44,44)	17	4.jpg
4	saltshaker	(18,153,38,57)	26	4.jpg
4	glass	(0,182,23,33)	21	4.jpg
4	pan_lid	(82,221,134,35)	16	4.jpg
4	frying_pan	(98,92,83,100)	14	4.jpg
5	shell_egg	(32,201,23,23)	7	5.jpg
5	shell_egg	(31,217,22,22)	7	5.jpg
5	knife	(30,105,23,68)	22	5.jpg
5	cutting_board	(6,112,54,59)	19	5.jpg
5	ham	(61,172,29,30)	12	5.jpg
5	oil_bottle	(0,145,26,47)	24	5.jpg
5	bowl	(49,122,44,44)	17	5.jpg
5	saltshaker	(18,153,38,57)	26	5.jpg
5	glass	(0,182,23,33)	21	5.jpg
5	pan_lid	(82,221,134,35)	16	5.jpg
5	frying_pan	(98,92,83,100)	14	5.jpg
6	shell_egg	(32,201,23,23)	7	6.jpg
6	shell_egg	(31,217,22,22)	7	6.jpg
6	knife	(30,105,23,68)	22	6.jpg
6	cutting_board	(6,112,54,59)	19	6.jpg
6	ham	(61,172,29,30)	12	6.jpg
6	oil_bottle	(0,145,26,47)	24	6.jpg
6	bowl	(49,122,44,44)	17	6.jpg
6	saltshaker	(18,153,38,57)	26	6.jpg
6	glass	(0,182,23,33)	21	6.jpg
6	pan_lid	(82,221,134,35)	16	6.jpg
6	frying_pan	(98,92,83,100)	14	6.jpg
7	shell_egg	(32,201,23,23)	7	7.jpg
7	shell_egg	(31,217,22,22)	7	7.jpg
7	knife	(30,105,23,68)	22	7.jpg
7	cutting_board	(6,112,54,59)	19	7.jpg
7	ham	(61,172,29,30)	12	7.jpg
7	oil_bottle	(0,145,26,47)	24	7.jpg
7	bowl	(49,122,44,44)	17	7.jpg
7	saltshaker	(18,153,38,57)	26	7.jpg
7	glass	(0,182,23,33)	21	7.jpg
7	pan_lid	(82,221,134,35)	16	7.jpg
7	frying_pan	(98,92,83,100)	14	7.jpg
8	shell_egg	(32,201,23,23)	7	8.jpg
8	shell_egg	(31,217,22,22)	7	8.jpg
8	knife	(30,105,23,68)	22	8.jpg
8	cutting_board	(6,112,54,59)	19	8.jpg
8	ham	(61,172,29,30)	12	8.jpg
8	oil_bottle	(0,145,26,47)	24	8.jpg
8	bowl	(49,122,44,44)	17	8.jpg
8	saltshaker	(18,153,38,57)	26	8.jpg
8	glass	(0,182,23,33)	21	8.jpg
8	pan_lid	(82,221,134,35)	16	8.jpg
8	frying_pan	(98,92,83,100)	14	8.jpg
9	shell_egg	(32,201,23,23)	7	9.jpg
9	shell_egg	(31,217,22,22)	7	9.jpg
9	knife	(30,105,23,68)	22	9.jpg
9	cutting_board	(6,112,54,59)	19	9.jpg
9	ham	(61,172,29,30)	12	9.jpg
9	oil_bottle	(0,145,26,47)	24	9.jpg
9	bowl	(49,122,44,44)	17	9.jpg
9	saltshaker	(18,153,38,57)	26	9.jpg
9	glass	(0,182,23,33)	21	9.jpg
9	pan_lid	(82,221,134,35)	16	9.jpg
9	frying_pan	(98,92,83,100)	14	9.jpg
10	shell_egg	(32,201,23,23)	7	10.jpg
10	shell_egg	(31,217,22,22)	7	10.jpg
10	knife	(30,105,23,68)	22	10.jpg
10	cutting_board	(6,112,54,59)	19	10.jpg
10	ham	(61,172,29,30)	12	10.jpg
10	oil_bottle	(0,145,26,47)	24	10.jpg
10	bowl	(49,122,44,44)	17	10.jpg
