Frame:	Label:	Points:	Bounding Box ID:	Frame path:
0	egg	(15,234,17,19)	0	data3/ham-egg/0.jpg
0	ham	(67,177,29,22)	1	data3/ham-egg/0.jpg
0	bowl	(53,124,45,39)	2	data3/ham-egg/0.jpg
0	cutting board	(10,113,54,56)	3	data3/ham-egg/0.jpg
0	knife	(31,105,29,74)	4	data3/ham-egg/0.jpg
0	saltshaker	(22,165,42,50)	5	data3/ham-egg/0.jpg
0	glass	(0,183,20,32)	6	data3/ham-egg/0.jpg
0	frying pan	(96,87,87,106)	7	data3/ham-egg/0.jpg
0	spoon	(34,175,19,36)	8	data3/ham-egg/0.jpg
1	egg	(15,234,17,18)	0	data3/ham-egg/1.jpg
1	ham	(66,176,30,23)	1	data3/ham-egg/1.jpg
1	bowl	(53,123,47,40)	2	data3/ham-egg/1.jpg
1	cutting board	(8,113,54,55)	3	data3/ham-egg/1.jpg
1	knife	(31,104,29,75)	4	data3/ham-egg/1.jpg
1	saltshaker	(21,165,41,49)	5	data3/ham-egg/1.jpg
1	glass	(0,182,20,33)	6	data3/ham-egg/1.jpg
1	frying pan	(95,86,87,106)	7	data3/ham-egg/1.jpg
1	spoon	(33,175,19,35)	8	data3/ham-egg/1.jpg
2	egg	(14,234,17,19)	0	data3/ham-egg/2.jpg
2	ham	(66,177,30,22)	1	data3/ham-egg/2.jpg
2	bowl	(53,123,45,40)	2	data3/ham-egg/2.jpg
2	cutting board	(11,113,54,55)	3	data3/ham-egg/2.jpg
2	knife	(30,104,30,74)	4	data3/ham-egg/2.jpg
2	saltshaker	(23,165,42,50)	5	data3/ham-egg/2.jpg
2	glass	(0,182,19,33)	6	data3/ham-egg/2.jpg
2	frying pan	(95,86,87,106)	7	data3/ham-egg/2.jpg
2	spoon	(33,174,19,37)	8	data3/ham-egg/2.jpg
3	egg	(15,233,17,20)	0	data3/ham-egg/3.jpg
3	ham	(67,177,29,22)	1	data3/ham-egg/3.jpg
3	bowl	(53,124,42,37)	2	data3/ham-egg/3.jpg
3	cutting board	(10,113,53,55)	3	data3/ham-egg/3.jpg
3	knife	(31,104,29,75)	4	data3/ham-egg/3.jpg
3	saltshaker	(21,165,41,49)	5	data3/ham-egg/3.jpg
3	glass	(0,182,20,32)	6	data3/ham-egg/3.jpg
3	frying pan	(96,86,86,106)	7	data3/ham-egg/3.jpg
3	spoon	(33,175,19,35)	8	data3/ham-egg/3.jpg
4	egg	(14,233,17,19)	0	data3/ham-egg/4.jpg
4	ham	(66,177,28,21)	1	data3/ham-egg/4.jpg
4	bowl	(52,124,45,39)	2	data3/ham-egg/4.jpg
4	cutting board	(8,113,54,55)	3	data3/ham-egg/4.jpg
4	knife	(30,104,29,75)	4	data3/ham-egg/4.jpg
4	saltshaker	(21,165,42,50)	5	data3/ham-egg/4.jpg
4	glass	(0,182,20,33)	6	data3/ham-egg/4.jpg
4	frying pan	(95,87,87,105)	7	data3/ham-egg/4.jpg
4	spoon	(34,175,19,35)	8	data3/ham-egg/4.jpg
5	egg	(15,234,17,19)	0	data3/ham-egg/5.jpg
5	ham	(68,177,28,21)	1	data3/ham-egg/5.jpg
5	bowl	(52,123,48,40)	2	data3/ham-egg/5.jpg
5	cutting board	(9,113,54,56)	3	data3/ham-egg/5.jpg
5	knife	(31,104,30,76)	4	data3/ham-egg/5.jpg
5	saltshaker	(22,165,43,50)	5	data3/ham-egg/5.jpg
5	glass	(0,183,18,30)	6	data3/ham-egg/5.jpg
5	frying pan	(95,87,87,105)	7	data3/ham-egg/5.jpg
5	spoon	(33,174,19,36)	8	data3/ham-egg/5.jpg
6	egg	(14,233,17,20)	0	data3/ham-egg/6.jpg
6	ham	(67,177,27,21)	1	data3/ham-egg/6.jpg
6	bowl	(53,123,45,39)	2	data3/ham-egg/6.jpg
6	cutting board	(8,113,54,55)	3	data3/ham-egg/6.jpg
6	knife	(30,104,29,75)	4	data3/ham-egg/6.jpg
6	saltshaker	(21,165,43,50)	5	data3/ham-egg/6.jpg
6	glass	(0,182,20,32)	6	data3/ham-egg/6.jpg
6	frying pan	(95,86,87,106)	7	data3/ham-egg/6.jpg
6	spoon	(34,174,19,36)	8	data3/ham-egg/6.jpg
7	egg	(15,233,17,20)	0	data3/ham-egg/7.jpg
7	ham	(67,177,28,21)	1	data3/ham-egg/7.jpg
7	bowl	(53,124,42,37)	2	data3/ham-egg/7.jpg
7	cutting board	(11,113,54,55)	3	data3/ham-egg/7.jpg
7	knife	(31,104,30,76)	4	data3/ham-egg/7.jpg
7	saltshaker	(23,165,42,50)	5	data3/ham-egg/7.jpg
7	glass	(0,183,18,30)	6	data3/ham-egg/7.jpg
7	frying pan	(96,86,86,106)	7	data3/ham-egg/7.jpg
7	spoon	(33,174,19,36)	8	data3/ham-egg/7.jpg
8	egg	(14,233,17,20)	0	data3/ham-egg/8.jpg
8	ham	(67,177,28,21)	1	data3/ham-egg/8.jpg
8	bowl	(52,124,45,38)	2	data3/ham-egg/8.jpg
8	cutting board	(7,111,55,57)	3	data3/ham-egg/8.jpg
8	knife	(30,104,29,75)	4	data3/ham-egg/8.jpg
8	saltshaker	(22,165,42,50)	5	data3/ham-egg/8.jpg
8	glass	(0,183,20,31)	6	data3/ham-egg/8.jpg
8	frying pan	(96,87,86,105)	7	data3/ham-egg/8.jpg
8	spoon	(34,174,19,36)	8	data3/ham-egg/8.jpg
9	egg	(14,233,18,20)	0	data3/ham-egg/9.jpg
9	ham	(66,177,29,21)	1	data3/ham-egg/9.jpg
9	bowl	(53,123,47,40)	2	data3/ham-egg/9.jpg
9	cutting board	(11,112,54,57)	3	data3/ham-egg/9.jpg
9	knife	(31,104,29,75)	4	data3/ham-egg/9.jpg
9	saltshaker	(22,164,43,51)	5	data3/ham-egg/9.jpg
9	glass	(0,182,20,32)	6	data3/ham-egg/9.jpg
9	frying pan	(96,86,86,106)	7	data3/ham-egg/9.jpg
