Frame:	Label:	Points:	Bounding Box ID:	Frame path:
0	ham	(65,178,34,32)	0	data3/omelette/0.jpg
0	bowl	(50,126,47,40)	1	data3/omelette/0.jpg
0	frying pan	(100,90,82,100)	2	data3/omelette/0.jpg
0	knife	(12,102,44,70)	3	data3/omelette/0.jpg
0	cutting board	(6,110,52,64)	4	data3/omelette/0.jpg
0	oil bottle	(0,149,35,43)	5	data3/omelette/0.jpg
0	egg	(77,233,17,18)	6	data3/omelette/0.jpg
0	saltshaker	(28,162,35,52)	7	data3/omelette/0.jpg
0	spoon	(37,171,16,39)	8	data3/omelette/0.jpg
1	ham	(64,178,34,31)	0	data3/omelette/1.jpg
1	bowl	(49,124,50,43)	1	data3/omelette/1.jpg
1	frying pan	(100,89,81,100)	2	data3/omelette/1.jpg
1	knife	(10,101,44,70)	3	data3/omelette/1.jpg
1	cutting board	(4,109,52,64)	4	data3/omelette/1.jpg
1	oil bottle	(0,149,33,42)	5	data3/omelette/1.jpg
1	egg	(77,233,17,17)	6	data3/omelette/1.jpg
1	saltshaker	(28,161,36,53)	7	data3/omelette/1.jpg
1	spoon	(36,170,16,39)	8	data3/omelette/1.jpg
2	ham	(65,178,33,31)	0	data3/omelette/2.jpg
2	bowl	(50,126,47,40)	1	data3/omelette/2.jpg
2	frying pan	(99,89,82,100)	2	data3/omelette/2.jpg
2	knife	(13,103,43,69)	3	data3/omelette/2.jpg
2	cutting board	(7,110,52,64)	4	data3/omelette/2.jpg
2	oil bottle	(0,147,36,46)	5	data3/omelette/2.jpg
2	egg	(77,233,17,17)	6	data3/omelette/2.jpg
2	saltshaker	(27,161,34,52)	7	data3/omelette/2.jpg
2	spoon	(37,170,16,40)	8	data3/omelette/2.jpg
3	ham	(65,178,34,32)	0	data3/omelette/3.jpg
3	bowl	(50,127,44,38)	1	data3/omelette/3.jpg
3	frying pan	(100,90,81,99)	2	data3/omelette/3.jpg
3	knife	(11,102,43,69)	3	data3/omelette/3.jpg
3	cutting board	(5,110,52,64)	4	data3/omelette/3.jpg
3	oil bottle	(0,148,35,44)	5	data3/omelette/3.jpg
3	egg	(76,233,17,17)	6	data3/omelette/3.jpg
3	saltshaker	(28,161,35,53)	7	data3/omelette/3.jpg
3	spoon	(36,171,16,39)	8	data3/omelette/3.jpg
4	ham	(64,178,33,31)	0	data3/omelette/4.jpg
4	bowl	(52,127,44,37)	1	data3/omelette/4.jpg
4	frying pan	(100,90,81,99)	2	data3/omelette/4.jpg
4	knife	(11,102,44,69)	3	data3/omelette/4.jpg
4	cutting board	(7,110,52,63)	4	data3/omelette/4.jpg
4	oil bottle	(0,147,36,46)	5	data3/omelette/4.jpg
4	egg	(77,233,17,17)	6	data3/omelette/4.jpg
4	saltshaker	(27,161,36,53)	7	data3/omelette/4.jpg
4	spoon	(37,171,16,39)	8	data3/omelette/4.jpg
5	ham	(66,178,33,31)	0	data3/omelette/5.jpg
5	bowl	(50,126,47,39)	1	data3/omelette/5.jpg
5	frying pan	(100,90,81,99)	2	data3/omelette/5.jpg
5	knife	(10,101,44,70)	3	data3/omelette/5.jpg
5	cutting board	(6,111,50,62)	4	data3/omelette/5.jpg
5	oil bottle	(0,149,33,42)	5	data3/omelette/5.jpg
5	egg	(76,233,17,17)	6	data3/omelette/5.jpg
5	saltshaker	(26,161,36,53)	7	data3/omelette/5.jpg
5	spoon	(36,171,16,39)	8	data3/omelette/5.jpg
6	ham	(64,177,34,32)	0	data3/omelette/6.jpg
6	bowl	(49,126,45,39)	1	data3/omelette/6.jpg
6	frying pan	(98,90,81,99)	2	data3/omelette/6.jpg
6	knife	(11,102,44,69)	3	data3/omelette/6.jpg
6	cutting board	(7,110,51,63)	4	data3/omelette/6.jpg
6	oil bottle	(0,148,36,45)	5	data3/omelette/6.jpg
6	egg	(77,233,16,18)	6	data3/omelette/6.jpg
6	saltshaker	(28,161,34,52)	7	data3/omelette/6.jpg
6	spoon	(37,172,15,37)	8	data3/omelette/6.jpg
7	ham	(64,178,35,32)	0	data3/omelette/7.jpg
7	bowl	(52,127,44,37)	1	data3/omelette/7.jpg
7	frying pan	(99,89,84,102)	2	data3/omelette/7.jpg
7	knife	(10,102,44,69)	3	data3/omelette/7.jpg
7	cutting board	(6,110,51,63)	4	data3/omelette/7.jpg
7	oil bottle	(0,149,33,42)	5	data3/omelette/7.jpg
7	egg	(77,232,17,19)	6	data3/omelette/7.jpg
7	saltshaker	(28,161,36,53)	7	data3/omelette/7.jpg
7	spoon	(36,171,16,39)	8	data3/omelette/7.jpg
8	ham	(64,178,33,31)	0	data3/omelette/8.jpg
8	bowl	(50,126,44,38)	1	data3/omelette/8.jpg
8	frying pan	(99,90,82,100)	2	data3/omelette/8.jpg
8	knife	(13,103,43,69)	3	data3/omelette/8.jpg
8	cutting board	(4,109,52,64)	4	data3/omelette/8.jpg
8	oil bottle	(0,147,36,46)	5	data3/omelette/8.jpg
8	egg	(77,232,17,18)	6	data3/omelette/8.jpg
8	saltshaker	(26,161,36,53)	7	data3/omelette/8.jpg
8	spoon	(36,171,16,39)	8	data3/omelette/8.jpg
9	ham	(64,177,35,33)	0	data3/omelette/9.jpg
9	bowl	(52,127,44,37)	1	data3/omelette/9.jpg
9	frying pan	(99,90,83,100)	2	data3/omelette/9.jpg
9	knife	(11,102,43,69)	3	data3/omelette/9.jpg
9	cutting board	(5,109,52,65)	4	data3/omelette/9.jpg
9	oil bottle	(0,148,34,43)	5	data3/omelette/9.jpg
9	egg	(76,233,17,18)	6	data3/omelette/9.jpg
9	saltshaker	(28,161,36,54)	7	data3/omelette/9.jpg
9	spoon	(37,171,16,39)	8	data3/omelette/9.jpg
10	ham	(64,178,34,31)	0	data3/omelette/10.jpg
10	bowl	(50,126,45,39)	1	data3/omelette/10.jpg
10	frying pan	(99,89,83,101)	2	data3/omelette/10.jpg
10	knife	(12,102,43,69)	3	data3/omelette/10.jpg
10	cutting board	(7,110,52,64)	4	data3/omelette/10.jpg
10	oil bottle	(0,148,35,44)	5	data3/omelette/10.jpg
10	egg	(77,233,17,17)	6	data3/omelette/10.jpg
10	saltshaker	(26,161,36,53)	7	data3/omelette/10.jpg
10	spoon	(36,171,16,39)	8	data3/omelette/10.jpg
11	ham	(66,178,33,31)	0	data3/omelette/11.jpg
11	bowl	(50,126,46,39)	1	data3/omelette/11.jpg
11	frying pan	(99,89,83,101)	2	data3/omelette/11.jpg
11	knife	(11,102,43,69)	3	data3/omelette/11.jpg
11	cutting board	(6,110,51,63)	4	data3/omelette/11.jpg
11	oil bottle	(0,148,35,44)	5	data3/omelette/11.jpg
11	egg	(76,233,17,18)	6	data3/omelette/11.jpg
11	saltshaker	(28,161,36,54)	7	data3/omelette/11.jpg
11	spoon	(36,170,16,40)	8	data3/omelette/11.jpg
12	ham	(64,178,33,31)	0	data3/omelette/12.jpg
12	bowl	(50,126,46,39)	1	data3/omelette/12.jpg
12	frying pan	(99,89,83,101)	2	data3/omelette/12.jpg
12	knife	(11,102,44,69)	3	data3/omelette/12.jpg
12	cutting board	(7,110,52,63)	4	data3/omelette/12.jpg
12	oil bottle	(0,149,33,42)	5	data3/omelette/12.jpg
12	egg	(77,233,17,18)	6	data3/omelette/12.jpg
12	saltshaker	(26,161,36,53)	7	data3/omelette/12.jpg
12	spoon	(36,170,16,40)	8	data3/omelette/12.jpg
13	ham	(65,178,33,31)	0	data3/omelette/13.jpg
13	bowl	(50,126,47,40)	1	data3/omelette/13.jpg
