Frame:	Label:	Points:	Bounding Box ID:	Frame path:
0	frying pan	(98,88,91,104)	0	data4/scramble-egg/0.jpg
0	bowl	(49,118,46,37)	1	data4/scramble-egg/0.jpg
0	egg	(60,225,19,19)	2	data4/scramble-egg/0.jpg
0	milk carton	(0,219,21,30)	3	data4/scramble-egg/0.jpg
0	saltshaker	(18,174,40,52)	4	data4/scramble-egg/0.jpg
0	spoon	(34,186,17,37)	5	data4/scramble-egg/0.jpg
0	oil bottle	(0,173,15,31)	6	data4/scramble-egg/0.jpg
1	frying pan	(98,88,91,104)	0	data4/scramble-egg/1.jpg
1	egg	(60,225,19,19)	2	data4/scramble-egg/1.jpg
1	milk carton	(0,219,20,29)	3	data4/scramble-egg/1.jpg
1	saltshaker	(18,172,41,55)	4	data4/scramble-egg/1.jpg
1	spoon	(34,185,17,38)	5	data4/scramble-egg/1.jpg
1	oil bottle	(0,172,14,32)	6	data4/scramble-egg/1.jpg
1	bowl	(51,119,43,34)	1	data4/scramble-egg/1.jpg
2	frying pan	(98,88,91,104)	0	data4/scramble-egg/2.jpg
2	egg	(60,224,19,19)	2	data4/scramble-egg/2.jpg
2	milk carton	(0,219,20,29)	3	data4/scramble-egg/2.jpg
2	saltshaker	(18,173,40,52)	4	data4/scramble-egg/2.jpg
2	spoon	(33,185,18,38)	5	data4/scramble-egg/2.jpg
2	oil bottle	(0,172,15,32)	6	data4/scramble-egg/2.jpg
2	bowl	(49,118,46,36)	1	data4/scramble-egg/2.jpg
3	frying pan	(97,87,91,104)	0	data4/scramble-egg/3.jpg
3	egg	(59,224,19,19)	2	data4/scramble-egg/3.jpg
3	milk carton	(0,218,22,32)	3	data4/scramble-egg/3.jpg
3	saltshaker	(18,172,41,55)	4	data4/scramble-egg/3.jpg
3	spoon	(33,185,17,37)	5	data4/scramble-egg/3.jpg
3	oil bottle	(0,172,15,32)	6	data4/scramble-egg/3.jpg
3	bowl	(48,118,44,36)	1	data4/scramble-egg/3.jpg
4	frying pan	(97,88,92,104)	0	data4/scramble-egg/4.jpg
4	egg	(60,224,19,20)	2	data4/scramble-egg/4.jpg
4	milk carton	(0,219,20,29)	3	data4/scramble-egg/4.jpg
4	saltshaker	(16,172,42,55)	4	data4/scramble-egg/4.jpg
4	spoon	(34,186,17,36)	5	data4/scramble-egg/4.jpg
4	oil bottle	(0,172,15,32)	6	data4/scramble-egg/4.jpg
4	bowl	(50,118,44,36)	1	data4/scramble-egg/4.jpg
5	frying pan	(97,88,92,104)	0	data4/scramble-egg/5.jpg
5	egg	(59,224,20,20)	2	data4/scramble-egg/5.jpg
5	milk carton	(0,218,22,32)	3	data4/scramble-egg/5.jpg
5	saltshaker	(18,173,42,54)	4	data4/scramble-egg/5.jpg
5	spoon	(34,186,16,36)	5	data4/scramble-egg/5.jpg
5	oil bottle	(0,172,15,32)	6	data4/scramble-egg/5.jpg
