Frame:	Label:	Points:	Bounding Box ID:	Frame path:
0	egg	(47,224,16,17)	0	data5/kinshi-egg/0.jpg
0	bowl	(49,116,47,45)	1	data5/kinshi-egg/0.jpg
0	hashi	(243,101,13,23)	2	data5/kinshi-egg/0.jpg
0	pan handle	(203,75,24,49)	3	data5/kinshi-egg/0.jpg
0	knife	(26,108,27,64)	4	data5/kinshi-egg/0.jpg
0	cutting board	(5,116,52,63)	5	data5/kinshi-egg/0.jpg
1	egg	(46,224,16,16)	0	data5/kinshi-egg/1.jpg
1	bowl	(49,115,49,47)	1	data5/kinshi-egg/1.jpg
1	hashi	(242,100,14,23)	2	data5/kinshi-egg/1.jpg
1	pan handle	(202,74,24,50)	3	data5/kinshi-egg/1.jpg
1	knife	(26,107,27,65)	4	data5/kinshi-egg/1.jpg
1	cutting board	(3,116,52,62)	5	data5/kinshi-egg/1.jpg
2	egg	(47,224,16,17)	0	data5/kinshi-egg/2.jpg
2	bowl	(49,115,47,45)	1	data5/kinshi-egg/2.jpg
2	hashi	(242,101,14,23)	2	data5/kinshi-egg/2.jpg
2	pan handle	(202,74,24,49)	3	data5/kinshi-egg/2.jpg
2	knife	(25,108,27,64)	4	data5/kinshi-egg/2.jpg
2	cutting board	(5,115,53,64)	5	data5/kinshi-egg/2.jpg
3	egg	(47,224,16,16)	0	data5/kinshi-egg/3.jpg
3	bowl	(48,116,45,43)	1	data5/kinshi-egg/3.jpg
3	hashi	(243,100,13,24)	2	data5/kinshi-egg/3.jpg
3	pan handle	(202,75,24,49)	3	data5/kinshi-egg/3.jpg
3	knife	(26,108,28,65)	4	data5/kinshi-egg/3.jpg
3	cutting board	(3,115,54,65)	5	data5/kinshi-egg/3.jpg
4	egg	(46,224,16,16)	0	data5/kinshi-egg/4.jpg
4	bowl	(48,116,47,44)	1	data5/kinshi-egg/4.jpg
4	hashi	(242,100,13,24)	2	data5/kinshi-egg/4.jpg
4	pan handle	(203,74,24,50)	3	data5/kinshi-egg/4.jpg
4	knife	(25,107,27,65)	4	data5/kinshi-egg/4.jpg
4	cutting board	(5,115,53,64)	5	data5/kinshi-egg/4.jpg
5	egg	(47,224,15,16)	0	data5/kinshi-egg/5.jpg
5	bowl	(49,115,49,46)	1	data5/kinshi-egg/5.jpg
5	hashi	(243,100,13,24)	2	data5/kinshi-egg/5.jpg
5	pan handle	(202,75,24,49)	3	data5/kinshi-egg/5.jpg
5	knife	(26,108,28,65)	4	data5/kinshi-egg/5.jpg
5	cutting board	(2,114,54,65)	5	data5/kinshi-egg/5.jpg
6	egg	(47,224,15,16)	0	data5/kinshi-egg/6.jpg
6	bowl	(49,116,45,43)	1	data5/kinshi-egg/6.jpg
6	hashi	(242,100,14,24)	2	data5/kinshi-egg/6.jpg
6	pan handle	(203,75,24,49)	3	data5/kinshi-egg/6.jpg
6	knife	(25,107,27,65)	4	data5/kinshi-egg/6.jpg
6	cutting board	(5,115,53,64)	5	data5/kinshi-egg/6.jpg
7	egg	(47,224,15,16)	0	data5/kinshi-egg/7.jpg
7	bowl	(48,116,47,44)	1	data5/kinshi-egg/7.jpg
7	hashi	(243,100,13,24)	2	data5/kinshi-egg/7.jpg
7	pan handle	(203,75,24,49)	3	data5/kinshi-egg/7.jpg
7	knife	(25,107,27,65)	4	data5/kinshi-egg/7.jpg
7	cutting board	(2,114,54,65)	5	data5/kinshi-egg/7.jpg
8	egg	(47,224,15,16)	0	data5/kinshi-egg/8.jpg
8	bowl	(49,114,49,48)	1	data5/kinshi-egg/8.jpg
8	hashi	(242,100,13,24)	2	data5/kinshi-egg/8.jpg
8	pan handle	(203,75,24,49)	3	data5/kinshi-egg/8.jpg
8	knife	(26,107,27,65)	4	data5/kinshi-egg/8.jpg
8	cutting board	(5,115,53,64)	5	data5/kinshi-egg/8.jpg
